App ID	#fMS	#f1818	#fThomas	#f1823	#f1831
C32_app1	<lb n="c57-0168__main__3"/><milestone spanTo="#c57-0168.14" unit="tei:head"/>Walton	<pb n="155" xml:id="F1818_v3_159"/><head sID="novel1_letter4_div4_head8"/>W<hi sID="novel1_letter4_div4_head8_hi1"/>ALTON<hi eID="novel1_letter4_div4_head8_hi1"/>,	<pb n="155" xml:id="F1818_v3_159"/><head sID="novel1_letter4_div4_head8"/>W<hi sID="novel1_letter4_div4_head8_hi1"/>ALTON<hi eID="novel1_letter4_div4_head8_hi1"/>,	<pb n="243" xml:id="F1823_v2_516"/><head sID="novel1_letter4_div4_head7"/>W<hi sID="novel1_letter4_div4_head7_hi1"/>ALTON<hi eID="novel1_letter4_div4_head7_hi1"/>,	<head sID="novel1_letter4_div4_head3"/>W<hi sID="novel1_letter4_div4_head3_hi1"/>ALTON<hi eID="novel1_letter4_div4_head3_hi1"/>,
C32_app2	in	<hi sID="novel1_letter4_div4_head8_hi2"/>in	<hi sID="novel1_letter4_div4_head8_hi2"/>in	<hi sID="novel1_letter4_div4_head7_hi2"/>in	<hi sID="novel1_letter4_div4_head3_hi2"/>in
C32_app3	continuation.<milestone unit="tei:p"/><lb n="c57-0168__main__4"/><milestone spanTo="#c57-0168.02" unit="tei:date"/>August 1<mdel/>3<shi rend="underline"></shi><lb n="c57-0168__main__5"/> You	continuation<hi eID="novel1_letter4_div4_head8_hi2"/>.<head eID="novel1_letter4_div4_head8"/><p sID="novel1_letter4_div4_p37"/>August	continuation<hi eID="novel1_letter4_div4_head8_hi2"/>.<head eID="novel1_letter4_div4_head8"/><p sID="novel1_letter4_div4_p37"/>August	continuation<hi eID="novel1_letter4_div4_head7_hi2"/>.<head eID="novel1_letter4_div4_head7"/><p sID="novel1_letter4_div4_p37"/>August	continuation<hi eID="novel1_letter4_div4_head3_hi2"/>.<head eID="novel1_letter4_div4_head3"/><p sID="novel1_letter4_div4_p39"/>August
C32_app4		26th, 17—.<p eID="novel1_letter4_div4_p37"/><p sID="novel1_letter4_div4_p38"/>Y<hi sID="novel1_letter4_div4_p38_hi1"/>OU<hi eID="novel1_letter4_div4_p38_hi1"/>	26th, 17—.<p eID="novel1_letter4_div4_p37"/><p sID="novel1_letter4_div4_p38"/>Y<hi sID="novel1_letter4_div4_p38_hi1"/>OU<hi eID="novel1_letter4_div4_p38_hi1"/>	26th, 17—.<p eID="novel1_letter4_div4_p37"/><p sID="novel1_letter4_div4_p38"/>Y<hi sID="novel1_letter4_div4_p38_hi1"/>OU<hi eID="novel1_letter4_div4_p38_hi1"/>	26th, 17—.<p eID="novel1_letter4_div4_p39"/><p sID="novel1_letter4_div4_p40"/>Y<hi sID="novel1_letter4_div4_p40_hi1"/>OU<hi eID="novel1_letter4_div4_p40_hi1"/>
C32_app5	have read this strange & terrific story,	have read this strange and terrific story,	have read this strange and terrific story,	have read this strange and terrific story,	have read this strange and terrific story,
C32_app6	<lb n="c57-0168__main__6"/> Marg<mdel>e</mdel>aret	Margaret;	Margaret;	Margaret;	Margaret;
C32_app7	and <metamark function="insert">^</metamark>do	and do	and do	and do	and do
C32_app8	not				
C32_app9	you	you	you	you	you
C32_app10		not	not	not	not
