App ID	#f1818	#f1823	#f1831	#fMS	#fThomas
C29_app1	<pb n="096" xml:id="F1818_v3_100"/><p sID="novel1_letter4_chapter21_div4_div23_p11"/>“<hi sID="novel1_letter4_chapter21_div4_div23_p11_hi1"/>To<hi eID="novel1_letter4_chapter21_div4_div23_p11_hi1"/> 	<pb n="184" xml:id="F1823_v2_457"/><p sID="novel1_letter4_chapter21_div4_div22_p10"/>“<hi sID="novel1_letter4_chapter21_div4_div22_p10_hi1"/>To<hi eID="novel1_letter4_chapter21_div4_div22_p10_hi1"/> 	<p sID="novel1_letter4_chapter22_div4_div22_p10"/><pb n="167" xml:id="F1831_v_183"/>“My 	<milestone unit="tei:p"/><lb n="c57-0134__main__33"/> To 	<pb n="096" xml:id="F1818_v3_100"/><p sID="novel1_letter4_chapter21_div4_div23_p11"/>“<hi sID="novel1_letter4_chapter21_div4_div23_p11_hi1"/>To<hi eID="novel1_letter4_chapter21_div4_div23_p11_hi1"/> 
C29_app2	V<hi sID="novel1_letter4_chapter21_div4_div23_p11_hi2"/>ICTOR<hi eID="novel1_letter4_chapter21_div4_div23_p11_hi2"/> 	V<hi sID="novel1_letter4_chapter21_div4_div22_p10_hi2"/>ICTOR<hi eID="novel1_letter4_chapter21_div4_div22_p10_hi2"/> 		Victor 	V<hi sID="novel1_letter4_chapter21_div4_div23_p11_hi2"/>ICTOR<hi eID="novel1_letter4_chapter21_div4_div23_p11_hi2"/> 
C29_app3	F<hi sID="novel1_letter4_chapter21_div4_div23_p11_hi3"/>RANKENSTEIN<hi eID="novel1_letter4_chapter21_div4_div23_p11_hi3"/>.<p eID="novel1_letter4_chapter21_div4_div23_p11"/><p sID="novel1_letter4_chapter21_div4_div23_p12"/>“<hi sID="novel1_letter4_chapter21_div4_div23_p12_hi1"/>MY 	F<hi sID="novel1_letter4_chapter21_div4_div22_p10_hi3"/>RANKENSTEIN<hi eID="novel1_letter4_chapter21_div4_div22_p10_hi3"/>.<p eID="novel1_letter4_chapter21_div4_div22_p10"/><p sID="novel1_letter4_chapter21_div4_div22_p11"/>“<hi sID="novel1_letter4_chapter21_div4_div22_p11_hi1"/>MY 		Fankenstein <lb n="c57-0134__main__34"/>May<del rend="strikethrough" sID="c57-0134__main__d3e25369"/>Feb.<del eID="c57-0134__main__d3e25369"/> 18 – 17— <lb n="c57-0134__main__35"/> My 	F<hi sID="novel1_letter4_chapter21_div4_div23_p11_hi3"/>RANKENSTEIN<hi eID="novel1_letter4_chapter21_div4_div23_p11_hi3"/>.<p eID="novel1_letter4_chapter21_div4_div23_p11"/><p sID="novel1_letter4_chapter21_div4_div23_p12"/>“<hi sID="novel1_letter4_chapter21_div4_div23_p12_hi1"/>MY 
C29_app4	DEAREST 	DEAR 	dear 	dearest 	DEAREST 
C29_app5	FRIEND<hi eID="novel1_letter4_chapter21_div4_div23_p12_hi1"/>,<p eID="novel1_letter4_chapter21_div4_div23_p12"/><p sID="novel1_letter4_chapter21_div4_div23_p13"/>“It 	FRIEND<hi eID="novel1_letter4_chapter21_div4_div22_p11_hi1"/>,<p eID="novel1_letter4_chapter21_div4_div22_p11"/><p sID="novel1_letter4_chapter21_div4_div22_p12"/>“It 	Friend,<p eID="novel1_letter4_chapter22_div4_div22_p10"/><p sID="novel1_letter4_chapter22_div4_div22_p11"/>“It 	Friend.<lb n="c57-0135__main__1"/> It 	FRIEND<hi eID="novel1_letter4_chapter21_div4_div23_p12_hi1"/>,<p eID="novel1_letter4_chapter21_div4_div23_p12"/><p sID="novel1_letter4_chapter21_div4_div23_p13"/>“It 
C29_app6	gave me the greatest pleasure to 	gave me the greatest pleasure to 	gave me the greatest pleasure to 	gave me the greatest pleasure to 	gave me the greatest pleasure to 
C29_app7				<lb n="c57-0135__main__2"/> 	
C29_app8	receive a letter from my uncle dated at 	receive a letter from my uncle dated at 	receive a letter from my uncle dated at 	receive a letter from my Uncle dated at 	receive a letter from my uncle dated at 
C29_app9	Paris; 	Paris; 	Paris; 	<lb n="c57-0135__main__3"/> Paris. 	Paris; 
C29_app10	you are no longer at a 	you are no longer at a 	you are no longer at a 	You are no longer at a 	you are no longer at a 
