App ID	#fMS	#f1818	#fThomas	#f1823	#f1831
C07_app1	<lb n="c56-0011__main__1"/><del instant="true" rend="strikethrough" sID="c56-0011__main__d2e13"/>sevr<del eID="c56-0011__main__d2e13"/> servants	<milestone n="1" type="start" unit="chapter"/><head sID="novel1_letter4_chapter1_div4_div1_head1"/>CHAPTER	<milestone n="1" type="start" unit="chapter"/><head sID="novel1_letter4_chapter1_div4_div1_head1"/>CHAPTER	<milestone n="1" type="start" unit="chapter"/><head sID="novel1_letter4_chapter1_div4_div1_head1"/>CHAPTER	<milestone n="1" type="start" unit="chapter"/><head sID="novel1_letter4_chapter1_div4_div1_head1"/>CHAPTER
C07_app2		I.<head eID="novel1_letter4_chapter1_div4_div1_head1"/><p sID="novel1_letter4_chapter1_div4_div1_p1"/> I	I.<head eID="novel1_letter4_chapter1_div4_div1_head1"/><p sID="novel1_letter4_chapter1_div4_div1_p1"/> I	I.<head eID="novel1_letter4_chapter1_div4_div1_head1"/><p sID="novel1_letter4_chapter1_div4_div1_p1"/>I	I.<head eID="novel1_letter4_chapter1_div4_div1_head1"/><p sID="novel1_letter4_chapter1_div4_div1_p1"/> I
C07_app3		<hi sID="novel1_letter4_chapter1_div4_div1_p1_hi1"/>AM<hi eID="novel1_letter4_chapter1_div4_div1_p1_hi1"/> by birth a Genevese; and my family is one of the most distinguished of that republic. My ancestors had been for many years counsellors and syndics; and my father	<hi sID="novel1_letter4_chapter1_div4_div1_p1_hi1"/>AM<hi eID="novel1_letter4_chapter1_div4_div1_p1_hi1"/> by birth a Genevese; and my family is one of the most distinguished of that republic. My ancestors had been for many years counsellors and syndics; and my father	<hi sID="novel1_letter4_chapter1_div4_div1_p1_hi1"/>AM<hi eID="novel1_letter4_chapter1_div4_div1_p1_hi1"/> by birth a Genevese; and my family is one of the most distinguished of that republic. My ancestors had been for many years counsellors and syndics; and my father	<hi sID="novel1_letter4_chapter1_div4_div1_p1_hi1"/>AM<hi eID="novel1_letter4_chapter1_div4_div1_p1_hi1"/> by birth a Genevese; and my family is one of the most distinguished of that republic. My ancestors had been for many years counsellors and syndics; and my father
C07_app4	had	had	had	had	had
C07_app5	any request	filled several public situations with honour and reputation. He was respected by all who knew	filled several public situations with honour and reputation. He was respected by all who knew	filled several public situations with honour and reputation. He was respected by all who knew	filled several public situations with honour and reputation. He was respected by all who knew
C07_app6		him	him	him	him,
C07_app7		for his integrity and indefatigable attention	for his integrity and indefatigable attention	for his integrity and indefatigable attention	for his integrity and indefatigable attention
C07_app8	to	to	to	to	to
C07_app9	make <lb n="c56-0011__main__2"/>	public business. He passed his younger days perpetually occupied by the affairs of	public business. He passed his younger days perpetually occupied by the affairs of	public business. He passed his younger days perpetually occupied by the affairs of	public business. He passed his younger days perpetually occupied by the affairs of
C07_app10		<pb n="040" xml:id="F1818_v1_052"/>his	<pb n="040" xml:id="F1818_v1_052"/>his	his	his
C07_app11		country;	country;	country;	country;
C07_app12		and	and	<pb n="40" xml:id="F1823_v1_059"/>and	a variety of circumstances had prevented his marrying early, nor
C07_app13		it	it	it	
C07_app14		was	was	was	was
C07_app15	it	not	not	not	it
C07_app16	always	until the decline of life that he	until the decline of life that he	until the decline of life that he	until the decline of life that he
C07_app17		thought of marrying,	thought of marrying,	thought of marrying,	became a husband
C07_app18		and	and	and	and
C07_app19		bestowing on	bestowing on	bestowing on	
C07_app20		the	the	the	the
C07_app21		state sons who might carry his virtues and his name down to posterity.<p eID="novel1_letter4_chapter1_div4_div1_p1"/><p sID="novel1_letter4_chapter1_div4_div1_p2"/>As	state sons who might carry his virtues and his name down to posterity.<p eID="novel1_letter4_chapter1_div4_div1_p1"/><p sID="novel1_letter4_chapter1_div4_div1_p2"/>As	state sons who might carry his virtues and his name down to posterity.<p eID="novel1_letter4_chapter1_div4_div1_p1"/><p sID="novel1_letter4_chapter1_div4_div1_p2"/>As	father of a family.<p eID="novel1_letter4_chapter1_div4_div1_p1"/><p sID="novel1_letter4_chapter1_div4_div1_p2"/>As
C07_app22		the circumstances of his marriage illustrate his character, I cannot refrain from relating them. One of his most intimate friends was a merchant, who, from a flourishing state, fell,	the circumstances of his marriage illustrate his character, I cannot refrain from relating them. One of his most intimate friends was a merchant, who, from a flourishing state, fell,	the circumstances of his marriage illustrate his character, I cannot refrain from relating them. One of his most intimate friends was a merchant, who, from a flourishing state, fell,	the circumstances of his marriage illustrate his character, I cannot refrain from relating them. One of his most intimate friends was a merchant, who, from a flourishing state, fell,
C07_app23	through	through	through	through	through
C07_app24	<del rend="strikethrough" sID="c56-0011__main__d2e20"/>the<del eID="c56-0011__main__d2e20"/>her intercession	numerous mischances, into poverty. This man, whose name was Beaufort, was	numerous mischances, into poverty. This man, whose name was Beaufort, was	numerous mischances, into poverty. This man, whose name was Beaufort, was	numerous mischances, into poverty. This man, whose name was Beaufort, was
C07_app25	of	of	of	of	of
C07_app26	<lb n="c56-0011__main__3"/> Elizabeth<del rend="strikethrough" sID="c56-0011__main__d2e34"/>	a proud and unbending disposition, and could not bear to live in poverty and oblivion in the same country where he had formerly been distinguished	a proud and unbending disposition, and could not bear to live in poverty and oblivion in the same country where he had formerly been distinguished	a proud and unbending disposition, and could not bear to live in poverty and oblivion in the same country where he had formerly been distinguished	a proud and unbending disposition, and could not bear to live in poverty and oblivion in the same country where he had formerly been distinguished
C07_app27	For	for	for	for	for
C07_app28	me I	his rank and	his rank and	his rank and	his rank and
C07_app29		magnificence.	magnificence.	magnificence.	magni<pb n="19" xml:id="F1831_v_035"/>ficence.
C07_app30		Having paid his debts, therefore, in the most honourable manner, he retreated with his daughter to the town of Lucerne, where he lived unknown and in wretchedness. My father	Having paid his debts, therefore, in the most honourable manner, he retreated with his daughter to the town of Lucerne, where he lived unknown and in wretchedness. My father	Having paid his debts, therefore, in the most honourable manner, he retreated with his daughter to the town of Lucerne, where he lived unknown and in wretchedness. My father	Having paid his debts, therefore, in the most honourable manner, he retreated with his daughter to the town of Lucerne, where he lived unknown and in wretchedness. My father
C07_app31	loved	loved	loved	loved	loved
C07_app32	he<del eID="c56-0011__main__d2e34"/>We agreed <lb n="c56-0011__main__4"/> perfectly although	Beau<pb n="041" xml:id="F1818_v1_053"/>fort	Beau<pb n="041" xml:id="F1818_v1_053"/>fort	Beaufort	Beaufort
C07_app33		with the truest	with the truest	with the truest	with the truest
C07_app34		friendship,	friendship,	<pb n="41" xml:id="F1823_v1_060"/>friendship,	friendship,
C07_app35		and was deeply grieved by his retreat in these unfortunate circumstances. He	and was deeply grieved by his retreat in these unfortunate circumstances. He	and was deeply grieved by his retreat in these unfortunate circumstances. He	and was deeply grieved by his retreat in these unfortunate circumstances. He
C07_app36		grieved also for	grieved also for	grieved also for	bitterly deplored
C07_app37		the	the	the	the
C07_app38		loss	loss	loss	false pride which led his friend to a conduct so little worthy
C07_app39		of	of	of	of
C07_app40		his society, and resolved	his society, and resolved	his society, and resolved	the affection that united them. He lost no time in endeavouring
C07_app41		to seek him	to seek him	to seek him	to seek him
C07_app42		out	out	out,	out,
C07_app43		and endeavour to persuade	and endeavour to persuade	and endeavour to persuade	with the hope of persuading
