App ID	#f1818	#f1823	#f1831	#fMS	#fThomas
C08_app1	<milestone n="2" type="start" unit="chapter"/><pb n="061" xml:id="F1818_v1_073"/><head sID="novel1_letter4_chapter2_div4_div2_head1"/>CHAPTER 	<milestone n="2" type="start" unit="chapter"/><pb n="61" xml:id="F1823_v1_080"/><head sID="novel1_letter4_chapter2_div4_div2_head1"/>CHAPTER 	<milestone n="3" type="start" unit="chapter"/><head sID="novel1_letter4_chapter3_div4_div3_head1"/>CHAPTER III.<head eID="novel1_letter4_chapter3_div4_div3_head1"/><p sID="novel1_letter4_chapter3_div4_div3_p1"/> 	<lb n="c56-0017__main__1"/><milestone spanTo="#c56-0017.04" unit="tei:head"/>Chapter <mdel>2</mdel>3<milestone unit="tei:p"/><lb n="c56-0017__main__2"/> 	<milestone n="2" type="start" unit="chapter"/><pb n="061" xml:id="F1818_v1_073"/><head sID="novel1_letter4_chapter2_div4_div2_head1"/>CHAPTER 
C08_app2	II.<head eID="novel1_letter4_chapter2_div4_div2_head1"/><p sID="novel1_letter4_chapter2_div4_div2_p1"/> 	II.<head eID="novel1_letter4_chapter2_div4_div2_head1"/><p sID="novel1_letter4_chapter2_div4_div2_p1"/>W<hi sID="novel1_letter4_chapter2_div4_div2_p1_hi1"/>HEN<hi eID="novel1_letter4_chapter2_div4_div2_p1_hi1"/> 			II.<head eID="novel1_letter4_chapter2_div4_div2_head1"/><p sID="novel1_letter4_chapter2_div4_div2_p1"/> 
C08_app3	W<hi sID="novel1_letter4_chapter2_div4_div2_p1_hi1"/>HEN<hi eID="novel1_letter4_chapter2_div4_div2_p1_hi1"/> 		W<hi sID="novel1_letter4_chapter3_div4_div3_p1_hi1"/>HEN<hi eID="novel1_letter4_chapter3_div4_div3_p1_hi1"/> 	When 	W<hi sID="novel1_letter4_chapter2_div4_div2_p1_hi1"/>HEN<hi eID="novel1_letter4_chapter2_div4_div2_p1_hi1"/> 
C08_app4	I had attained the age of 	I had attained the age of 	I had attained the age of 	I had attained the age of 	I had attained the age of 
C08_app5	seventeen, 	seventeen, 	seventeen, 	<lb n="c56-0017__main__3"/> seventeen 	seventeen, 
C08_app6	my 	my 	my 	my 	my 
C08_app7	parents 	parents 	parents 	<del rend="strikethrough" sID="c56-0017__main__d2e3078"/>father<del eID="c56-0017__main__d2e3078"/>parents 	parents 
C08_app8	resolved that 	resolved that 	resolved that 	resolved that 	resolved that 
C08_app9				<lb n="c56-0017__main__4"/> 	
C08_app10	I should 	I should 	I should 	I should 	I should 
