App ID	#f1818	#f1823	#f1831	#fMS	#fThomas
C23_app1	<milestone n="16" type="start" unit="chapter"/><pb n="142" xml:id="F1818_v2_146"/><head sID="novel1_letter4_chapter16_div4_div17_head1"/>CHAPTER 	<milestone n="16" type="start" unit="chapter"/><pb n="74" xml:id="F1823_v2_347"/><head sID="novel1_letter4_chapter16_div4_div17_head1"/>CHAPTER 	<milestone n="17" type="start" unit="chapter"/><head sID="novel1_letter4_chapter17_div4_div17_head1"/>CHAPTER XVII.<head eID="novel1_letter4_chapter17_div4_div17_head1"/><p sID="novel1_letter4_chapter17_div4_div17_p1"/>T<hi sID="novel1_letter4_chapter17_div4_div17_p1_hi1"/>HE<hi eID="novel1_letter4_chapter17_div4_div17_p1_hi1"/> 	<lb n="c57-0066__main__1"/><milestone spanTo="#c57-0066.01" unit="tei:head"/>Chap. 9<shi rend="underline"></shi><milestone unit="tei:p"/><lb n="c57-0066__main__2"/> The creature 	<milestone n="16" type="start" unit="chapter"/><pb n="142" xml:id="F1818_v2_146"/><head sID="novel1_letter4_chapter16_div4_div17_head1"/>CHAPTER 
C23_app2	IX.<head eID="novel1_letter4_chapter16_div4_div17_head1"/><p sID="novel1_letter4_chapter16_div4_div17_p1"/>T<hi sID="novel1_letter4_chapter16_div4_div17_p1_hi1"/>HE<hi eID="novel1_letter4_chapter16_div4_div17_p1_hi1"/> 	V.<head eID="novel1_letter4_chapter16_div4_div17_head1"/><p sID="novel1_letter4_chapter16_div4_div17_p1"/>T<hi sID="novel1_letter4_chapter16_div4_div17_p1_hi1"/>HE<hi eID="novel1_letter4_chapter16_div4_div17_p1_hi1"/> 			IX.<head eID="novel1_letter4_chapter16_div4_div17_head1"/><p sID="novel1_letter4_chapter16_div4_div17_p1"/>T<hi sID="novel1_letter4_chapter16_div4_div17_p1_hi1"/>HE<hi eID="novel1_letter4_chapter16_div4_div17_p1_hi1"/> 
C23_app3	being 	being 	being 		being 
C23_app4	finished 	finished 	finished 	finished 	finished 
C23_app5	speaking, 	speaking, 	speaking, 	speaking 	speaking, 
C23_app6	and fixed his 	and fixed his 	and fixed his 	and fixed his 	and fixed his 
C23_app7	looks upon 	looks upon 	looks upon 	<lb n="c57-0066__main__3"/><del rend="strikethrough" sID="c57-0066__main__d3e13244"/>eyes<del eID="c57-0066__main__d3e13244"/>looks on 	looks upon 
C23_app8	me in expectation of 	me in expectation of 	me in expectation of 	me in expectation of 	me in expectation of 
C23_app9	a reply. 	a reply. 	a reply. 	a<mdel>n</mdel><del rend="strikethrough" sID="c57-0066__main__d3e13256"/>answer<mdel>.</mdel><del eID="c57-0066__main__d3e13256"/><metamark function="insert">^</metamark>reply.<lb n="c57-0066__main__4"/> 	a reply. 
C23_app10	But I was 	But I was 	But I was 	But I was 	But I was 
C23_app11	bewildered, perplexed, 	bewildered, perplexed, 	bewildered, perplexed, 	bewilde<del rend="strikethrough" sID="c57-0066__main__d3e13274"/>r<del eID="c57-0066__main__d3e13274"/>red & perplexed 	bewildered, perplexed, 
C23_app12	and unable 	and unable 	and unable 	& unable 	and unable 
C23_app13				<lb n="c57-0066__main__5"/> 	
C23_app14	to arrange my ideas sufficiently to understand the 	to arrange my ideas sufficiently to understand the 	to arrange my ideas sufficiently to understand the 	to arrange my ideas sufficiently to under<lb n="c57-0066__main__6"/>stand the 	to arrange my ideas sufficiently to understand the 
C23_app15	full extent 	full extent 	full extent 	meaning 	full extent 
C23_app16	of his proposition. He 	of his proposition. He 	of his proposition. He 	of his proposition. He 	of his proposition. He 
C23_app17	continued—<p eID="novel1_letter4_chapter16_div4_div17_p1"/><p sID="novel1_letter4_chapter16_div4_div17_p2"/>“You 	continued—<p eID="novel1_letter4_chapter16_div4_div17_p1"/><p sID="novel1_letter4_chapter16_div4_div17_p2"/>“You 	continued—<p eID="novel1_letter4_chapter17_div4_div17_p1"/><p sID="novel1_letter4_chapter17_div4_div17_p2"/>“You 	<lb n="c57-0066__main__7"/> continued.<milestone unit="tei:p"/><lb n="c57-0066__main__8"/> You 	continued—<p eID="novel1_letter4_chapter16_div4_div17_p1"/><p sID="novel1_letter4_chapter16_div4_div17_p2"/>“You 
C23_app18	must create a female for 	must create a female for 	must create a female for 	must create a female for 	must create a female for 
C23_app19	me, 	me, 	me, 	<lb n="c57-0066__main__9"/> me 	me, 
C23_app20	with whom I can live in the 	with whom I can live in the 	with whom I can live in the 	with whom I can live in the 	with whom I can live in the 
C23_app21				<lb n="c57-0066__main__10"/> 	
C23_app22	interchange of those sympathies necessary 	interchange of those sympathies necessary 	interchange of those sympathies necessary 	interchange of those sympathies necessary 	interchange of those sympathies necessary 
C23_app23				<lb n="c57-0066__main__11"/> 	
C23_app24	for my 	for my 	for my 	for my 	for my 
C23_app25	being. 	being. 	being. 	being<mdel>–</mdel>; 	being. 
C23_app26	This you alone can 	This you alone can 	This you alone can 	This you alone can 	This you alone can 
C23_app27	do; 	do; 	do; 	do 	do; 
C23_app28	and I demand 	and I demand 	and I demand 	&<lb n="c57-0066__main__12"/> I demand 	and I demand 
C23_app29	it 	it 	it 		it 
C23_app30	of you as a right which you 	of you as a right which you 	of you as a right which you 	of you as a right which you 	of you as a right which you 
C23_app31				<lb n="c57-0066__main__13"/> 	
C23_app32	must not 	must not 	must not 	must not 	must not 
