App ID	#f1818	#f1823	#f1831	#fMS	#fThomas
C19_app1	<milestone n="12" type="start" unit="chapter"/><pb n="069" xml:id="F1818_v2_073"/><head sID="novel1_letter4_chapter12_div4_div13_head1"/>CHAPTER V.<head eID="novel1_letter4_chapter12_div4_div13_head1"/><p sID="novel1_letter4_chapter12_div4_div13_p1"/> “I 	<milestone n="12" type="start" unit="chapter"/><head sID="novel1_letter4_chapter12_div4_div13_head1"/>CHAPTER I.<head eID="novel1_letter4_chapter12_div4_div13_head1"/><p sID="novel1_letter4_chapter12_div4_div13_p1"/>“I 	<milestone n="13" type="start" unit="chapter"/><head sID="novel1_letter4_chapter13_div4_div13_head1"/>CHAPTER XIII.<head eID="novel1_letter4_chapter13_div4_div13_head1"/><p sID="novel1_letter4_chapter13_div4_div13_p1"/>“I 	 	<milestone n="12" type="start" unit="chapter"/><pb n="069" xml:id="F1818_v2_073"/><head sID="novel1_letter4_chapter12_div4_div13_head1"/>CHAPTER V.<head eID="novel1_letter4_chapter12_div4_div13_head1"/><p sID="novel1_letter4_chapter12_div4_div13_p1"/> “I 
C19_app2	<hi sID="novel1_letter4_chapter12_div4_div13_p1_hi1"/>NOW<hi eID="novel1_letter4_chapter12_div4_div13_p1_hi1"/> hasten to the more moving part of my story. I shall relate 	<hi sID="novel1_letter4_chapter12_div4_div13_p1_hi1"/>NOW<hi eID="novel1_letter4_chapter12_div4_div13_p1_hi1"/> hasten to the more moving part of my story. I shall relate 	<hi sID="novel1_letter4_chapter13_div4_div13_p1_hi1"/>NOW<hi eID="novel1_letter4_chapter13_div4_div13_p1_hi1"/> hasten to the more moving part of my story. I shall relate 		<hi sID="novel1_letter4_chapter12_div4_div13_p1_hi1"/>NOW<hi eID="novel1_letter4_chapter12_div4_div13_p1_hi1"/> hasten to the more moving part of my story. I shall relate 
C19_app3	events 	events, 	events, 		events 
C19_app4	that impressed me with feelings which, from what I 	that impressed me with feelings which, from what I 	that impressed me with feelings which, from what I 		that impressed me with feelings which, from what I 
C19_app5	was, 	had been, 	had been, 		was, 
C19_app6	have made me what I am.<p eID="novel1_letter4_chapter12_div4_div13_p1"/><p sID="novel1_letter4_chapter12_div4_div13_p2"/>“Spring advanced rapidly; the weather became fine, and the skies cloudless. It surprised me, that what before was desert and gloomy should now bloom with the most beautiful flowers and verdure. My senses were gratified and refreshed by a thousand scents of delight, and a thousand sights of 	have made me what I am.<p eID="novel1_letter4_chapter12_div4_div13_p1"/><p sID="novel1_letter4_chapter12_div4_div13_p2"/>“Spring advanced rapidly; the weather became fine, and the skies cloudless. It surprised me, that what before was desert and gloomy should now bloom with the most beautiful flowers and verdure. My senses were gratified and refreshed by a thousand scents of delight, and a thousand sights of 	have made me what I am.<p eID="novel1_letter4_chapter13_div4_div13_p1"/><p sID="novel1_letter4_chapter13_div4_div13_p2"/>“Spring advanced rapidly; the weather became fine, and the skies cloudless. It surprised me, that what before was desert and gloomy should now bloom with the most beautiful flowers and verdure. My senses were gratified and refreshed by a thousand scents of delight, and a thousand sights of 		have made me what I am.<p eID="novel1_letter4_chapter12_div4_div13_p1"/><p sID="novel1_letter4_chapter12_div4_div13_p2"/>“Spring advanced rapidly; the weather became fine, and the skies cloudless. It surprised me, that what before was desert and gloomy should now bloom with the most beautiful flowers and verdure. My senses were gratified and refreshed by a thousand scents of delight, and a thousand sights of 
C19_app7	beauty.<p eID="novel1_letter4_chapter12_div4_div13_p2"/><p sID="novel1_letter4_chapter12_div4_div13_p3"/><pb n="070" xml:id="F1818_v2_074"/>“It 	beauty.<p eID="novel1_letter4_chapter12_div4_div13_p2"/><p sID="novel1_letter4_chapter12_div4_div13_p3"/><pb n="2" xml:id="F1823_v2_275"/>“It 	beauty.<p eID="novel1_letter4_chapter13_div4_div13_p2"/><p sID="novel1_letter4_chapter13_div4_div13_p3"/>“It 		beauty.<p eID="novel1_letter4_chapter12_div4_div13_p2"/><p sID="novel1_letter4_chapter12_div4_div13_p3"/><pb n="070" xml:id="F1818_v2_074"/>“It 
C19_app8	was on one of these days, when my cottagers periodically rested from labour—the old man played on his guitar, and the children listened to 	was on one of these days, when my cottagers periodically rested from labour—the old man played on his guitar, and the children listened to 	was on one of these days, when my cottagers periodically rested from labour—the old man played on his guitar, and the children listened to 		was on one of these days, when my cottagers periodically rested from labour—the old man played on his guitar, and the children listened to 
C19_app9	him—I 	him—that I 	him—that I 		him—I 
C19_app10	observed 	observed 	observed 		observed 
