App ID	#fMS	#f1818	#fThomas	#f1823	#f1831
C11_app1	<lb n="c56-0057__Pt2__main__1"/><milestone spanTo="#c56-0057.02" unit="tei:head"/>Ch V– 113<milestone unit="tei:p"/><lb n="c56-0057__Pt2__main__2"/> He	<milestone n="5" type="start" unit="chapter"/><head sID="novel1_letter4_chapter5_div4_div5_head1"/>CHAPTER V.<head eID="novel1_letter4_chapter5_div4_div5_head1"/><p sID="novel1_letter4_chapter5_div4_div5_p1"/>C<hi sID="novel1_letter4_chapter5_div4_div5_p1_hi1"/>LERVAL<hi eID="novel1_letter4_chapter5_div4_div5_p1_hi1"/>	<milestone n="5" type="start" unit="chapter"/><head sID="novel1_letter4_chapter5_div4_div5_head1"/>CHAPTER V.<head eID="novel1_letter4_chapter5_div4_div5_head1"/><p sID="novel1_letter4_chapter5_div4_div5_p1"/>C<hi sID="novel1_letter4_chapter5_div4_div5_p1_hi1"/>LERVAL<hi eID="novel1_letter4_chapter5_div4_div5_p1_hi1"/>	<milestone n="5" type="start" unit="chapter"/><head sID="novel1_letter4_chapter5_div4_div5_head1"/>CHAPTER V.<head eID="novel1_letter4_chapter5_div4_div5_head1"/><p sID="novel1_letter4_chapter5_div4_div5_p1"/>C<hi sID="novel1_letter4_chapter5_div4_div5_p1_hi1"/>LERVAL<hi eID="novel1_letter4_chapter5_div4_div5_p1_hi1"/>	<milestone n="6" type="start" unit="chapter"/><head sID="novel1_letter4_chapter6_div4_div6_head1"/>CHAPTER VI.<head eID="novel1_letter4_chapter6_div4_div6_head1"/><p sID="novel1_letter4_chapter6_div4_div6_p1"/> C<hi sID="novel1_letter4_chapter6_div4_div6_p1_hi1"/>LERVAL<hi eID="novel1_letter4_chapter6_div4_div6_p1_hi1"/>
C11_app2	then put the following letter	then put the following letter	then put the following letter	then put the following letter	then put the following letter
C11_app3	<lb n="c56-0057__Pt2__main__3"/>				
C11_app4	into	into	into	into	into
C11_app5	my hands.				my hands.
C11_app6	<lb n="c56-0057__Pt2__main__4"/> "To V. Frankenstien <lb n="c56-0057__Pt2__main__5"/> Geneva <del rend="strikethrough" sID="c56-0057__Pt2__main__d2e11934"/>Apri<del eID="c56-0057__Pt2__main__d2e11934"/><mdel>l</mdel>March 18<shi rend="underline"></shi> 17— <lb n="c56-0057__Pt2__main__6"/> "My				It was from
C11_app7		my	my	my	my
C11_app8		hands.<p eID="novel1_letter4_chapter5_div4_div5_p1"/><p sID="novel1_letter4_chapter5_div4_div5_p2"/><ab sID="novel1_letter4_chapter5_div4_div5_p2_ab1"/><hi sID="novel1_letter4_chapter5_div4_div5_p2_ab1_hi1"/>To<hi eID="novel1_letter4_chapter5_div4_div5_p2_ab1_hi1"/>	hands.<p eID="novel1_letter4_chapter5_div4_div5_p1"/><del sID="novel1_letter4_chapter5_div4_div5_del1"/><ab sID="novel1_letter4_chapter5_div4_div5_del1_ab1"/><hi sID="novel1_letter4_chapter5_div4_div5_del1_ab1_hi1"/>To<hi eID="novel1_letter4_chapter5_div4_div5_del1_ab1_hi1"/>	hands.<p eID="novel1_letter4_chapter5_div4_div5_p1"/><p sID="novel1_letter4_chapter5_div4_div5_p2"/><ab sID="novel1_letter4_chapter5_div4_div5_p2_ab1"/>“<hi sID="novel1_letter4_chapter5_div4_div5_p2_ab1_hi1"/>To<hi eID="novel1_letter4_chapter5_div4_div5_p2_ab1_hi1"/>	own Elizabeth:—<p eID="novel1_letter4_chapter6_div4_div6_p1"/><p sID="novel1_letter4_chapter6_div4_div6_p2"/>“My dearest Cousin,<p eID="novel1_letter4_chapter6_div4_div6_p2"/><p sID="novel1_letter4_chapter6_div4_div6_p3"/>“You have been ill, very ill, and even
C11_app9		V.	V.	V.	
C11_app10		F<hi sID="novel1_letter4_chapter5_div4_div5_p2_ab1_hi2"/>RANKENSTEIN<hi eID="novel1_letter4_chapter5_div4_div5_p2_ab1_hi2"/>.<ab eID="novel1_letter4_chapter5_div4_div5_p2_ab1"/><p eID="novel1_letter4_chapter5_div4_div5_p2"/><p sID="novel1_letter4_chapter5_div4_div5_p3"/>“<hi sID="novel1_letter4_chapter5_div4_div5_p3_hi1"/>MY	F<hi sID="novel1_letter4_chapter5_div4_div5_del1_ab1_hi2"/>RANKENSTEIN<hi eID="novel1_letter4_chapter5_div4_div5_del1_ab1_hi2"/>.<ab eID="novel1_letter4_chapter5_div4_div5_del1_ab1"/><del eID="novel1_letter4_chapter5_div4_div5_del1"/><p sID="novel1_letter4_chapter5_div4_div5_p2"/>“<hi sID="novel1_letter4_chapter5_div4_div5_p2_hi1"/>MY	F<hi sID="novel1_letter4_chapter5_div4_div5_p2_ab1_hi2"/>RANKENSTEIN<hi eID="novel1_letter4_chapter5_div4_div5_p2_ab1_hi2"/>.<ab eID="novel1_letter4_chapter5_div4_div5_p2_ab1"/><p eID="novel1_letter4_chapter5_div4_div5_p2"/><p sID="novel1_letter4_chapter5_div4_div5_p3"/>“<hi sID="novel1_letter4_chapter5_div4_div5_p3_hi1"/>MY	
