App ID	#fMS	#f1818	#fThomas	#f1823	#f1831
C33_app1	<lb n="c57-0172__main__27"/> August <mdel>27</mdel>31<shi rend="sup"></shi><lb n="c57-0172__main__28"/> My	<p sID="novel1_letter4_div4_p47"/>September 2d.<p eID="novel1_letter4_div4_p47"/><p sID="novel1_letter4_div4_p48"/><hi sID="novel1_letter4_div4_p48_hi1"/>MY	<p sID="novel1_letter4_div4_p47"/>September 2d.<p eID="novel1_letter4_div4_p47"/><p sID="novel1_letter4_div4_p48"/><hi sID="novel1_letter4_div4_p48_hi1"/>MY	<p sID="novel1_letter4_div4_p47"/>September 2d.<p eID="novel1_letter4_div4_p47"/><p sID="novel1_letter4_div4_p48"/><hi sID="novel1_letter4_div4_p48_hi1"/>MY	<p sID="novel1_letter4_div4_p49"/>September 2d.<p eID="novel1_letter4_div4_p49"/><p sID="novel1_letter4_div4_p50"/>My
C33_app2	beloved	BELOVED	BELOVED	BELOVED	beloved
C33_app3	<mdel>s</mdel>Sister<milestone unit="tei:p"/><lb n="c57-0172__main__29"/> I	SISTER<hi eID="novel1_letter4_div4_p48_hi1"/>,<p eID="novel1_letter4_div4_p48"/><p sID="novel1_letter4_div4_p49"/>I	SISTER<hi eID="novel1_letter4_div4_p48_hi1"/>,<p eID="novel1_letter4_div4_p48"/><p sID="novel1_letter4_div4_p49"/>I	SISTER<hi eID="novel1_letter4_div4_p48_hi1"/>,<p eID="novel1_letter4_div4_p48"/><p sID="novel1_letter4_div4_p49"/>I	Sister,<p eID="novel1_letter4_div4_p50"/><p sID="novel1_letter4_div4_p51"/>I
C33_app4	write to	write to	write to	write to	write to
C33_app5	you	you,	you,	you,	you,
C33_app6	encompassed by	encompassed by	encompassed by	encompassed by	encompassed by
C33_app7	peril <lb n="c57-0172__main__30"/>	peril,	peril,	peril,	peril,
C33_app8	and ignorant	and ignorant	and ignorant	and ignorant	and ignorant
C33_app9	if	whether	whether	whether	whether
C33_app10	I am ever doomed to	I am ever doomed to	I am ever doomed to	I am ever doomed to	I am ever doomed to
C33_app11	<lb n="c57-0172__main__31"/>				
C33_app12	see again	see again	see again	see again	see again
C33_app13	<del rend="strikethrough" sID="c57-0172__main__d3e34808"/>my<del eID="c57-0172__main__d3e34808"/>				
C33_app14	dear	dear	dear	dear	dear
C33_app15	England	England,	England,	England,	England,
C33_app16	& the dearer	and the dearer	and the dearer	and the dearer	and the dearer
C33_app17	<lb n="c57-0172__main__32"/>				
C33_app18	friends that inhabit it. I	friends that inhabit it. I	friends that inhabit it. I	friends that inhabit it. I	friends that inhabit it. I
C33_app19	am	<pb n="164" xml:id="F1818_v3_168"/>am	<pb n="164" xml:id="F1818_v3_168"/>am	<pb n="252" xml:id="F1823_v2_525"/>am	am
C33_app20	surrounded	surrounded	surrounded	surrounded	surrounded
C33_app21	<lb n="c57-0172__main__33"/>				
C33_app22	by mountains of	by mountains of	by mountains of	by mountains of	by mountains of
C33_app23	ice	ice,	ice,	ice,	ice,
C33_app24	which admit of no	which admit of no	which admit of no	which admit of no	which admit of no
C33_app25	<lb n="c57-0172__main__34"/> escape	escape,	escape,	escape,	escape,
C33_app26	and threaten every moment to<lb n="c57-0173__main__1"/> crush my vessel. The brave	and threaten every moment to crush my vessel. The brave	and threaten every moment to crush my vessel. The brave	and threaten every moment to crush my vessel. The brave	and threaten every moment to crush my vessel. The brave
C33_app27	fellows	fellows,	fellows,	fellows,	fellows,
C33_app28	whom I	whom I	whom I	whom I	whom I
C33_app29		have	have	have	have
