App ID	#fMS	#f1818	#fThomas	#f1823	#f1831
C14_app1	<milestone unit="tei:p"/><lb n="c56-0091__Pt2__main__1"/> We	<milestone n="7" type="start" unit="chapter"/><head sID="novel1_letter4_chapter7_div4_div7_head1"/>CHAPTER VII.<head eID="novel1_letter4_chapter7_div4_div7_head1"/><p sID="novel1_letter4_chapter7_div4_div7_p1"/>W<hi sID="novel1_letter4_chapter7_div4_div7_p1_hi1"/>E<hi eID="novel1_letter4_chapter7_div4_div7_p1_hi1"/>	<milestone n="7" type="start" unit="chapter"/><head sID="novel1_letter4_chapter7_div4_div7_head1"/>CHAPTER VII.<head eID="novel1_letter4_chapter7_div4_div7_head1"/><p sID="novel1_letter4_chapter7_div4_div7_p1"/>W<hi sID="novel1_letter4_chapter7_div4_div7_p1_hi1"/>E<hi eID="novel1_letter4_chapter7_div4_div7_p1_hi1"/>	<milestone n="7" type="start" unit="chapter"/><head sID="novel1_letter4_chapter7_div4_div7_head1"/>CHAPTER VII.<head eID="novel1_letter4_chapter7_div4_div7_head1"/><p sID="novel1_letter4_chapter7_div4_div7_p1"/>W<hi sID="novel1_letter4_chapter7_div4_div7_p1_hi1"/>E<hi eID="novel1_letter4_chapter7_div4_div7_p1_hi1"/>	<milestone n="8" type="start" unit="chapter"/><head sID="novel1_letter4_chapter8_div4_div8_head1"/>CHAPTER VIII.<head eID="novel1_letter4_chapter8_div4_div8_head1"/><p sID="novel1_letter4_chapter8_div4_div8_p1"/>W<hi sID="novel1_letter4_chapter8_div4_div8_p1_hi1"/>E<hi eID="novel1_letter4_chapter8_div4_div8_p1_hi1"/>
C14_app2	passed a few sad	passed a few sad	passed a few sad	passed a few sad	passed a few sad
C14_app3	hours untill	hours, until	hours, until	hours, until	hours, until
C14_app4	eleven	eleven	eleven	eleven	eleven
C14_app5	<lb n="c56-0091__Pt2__main__2"/> o'clock	o’clock,	o’clock,	o’clock,	o’clock,
C14_app6	when the trial was to	when the trial was to	when the trial was to	when the trial was to	when the trial was to
C14_app7	<del rend="strikethrough" sID="c56-0091__Pt2__main__d2e19864"/>begin<del eID="c56-0091__Pt2__main__d2e19864"/>commence<del rend="strikethrough" sID="c56-0091__Pt2__main__d2e19871"/>and<del eID="c56-0091__Pt2__main__d2e19871"/><mdel>m</mdel>My	commence. My	commence. My	commence. My	commence. My
C14_app8	father	father	father	father	father
C14_app9	<lb n="c56-0091__Pt2__main__3"/>				
C14_app10	and	and	and	and	and
C14_app11	E<del rend="strikethrough" sID="c56-0091__Pt2__main__d2e19890"/>father<del eID="c56-0091__Pt2__main__d2e19890"/><del rend="strikethrough" sID="c56-0091__Pt2__main__d2e19893"/>El<del eID="c56-0091__Pt2__main__d2e19893"/>				
C14_app12	the rest of the family being obliged	the rest of the family being obliged	the rest of the family being obliged	the rest of the family being obliged	the rest of the family being obliged
C14_app13	<lb n="c56-0091__Pt2__main__4"/>				
C14_app14	to attend as	to attend as	to attend as	to attend as	to attend as
C14_app15	witnesses <del rend="strikethrough" sID="c56-0091__Pt2__main__d2e19899"/>Iac<del eID="c56-0091__Pt2__main__d2e19899"/>	witnesses,	witnesses,	witnesses,	witnesses,
C14_app16	I accompanied them to	I accompanied them to	I accompanied them to	I accompanied them to	I accompanied them to
C14_app17	<lb n="c56-0091__Pt2__main__5"/>				
C14_app18	the court. During the whole of this wretched	the court. During the whole of this wretched	the court. During the whole of this wretched	the court. During the whole of this wretched	the court. During the whole of this wretched
C14_app19	<lb n="c56-0091__Pt2__main__6"/>				
C14_app20	mockery of	mockery of	mockery of	mockery of	mockery of
C14_app21	justice	justice,	justice,	justice	justice
C14_app22	I	I	I	I	I
C14_app23	sufferred	suffered	suffered	suffered	suffered
C14_app24	living torture.<lb n="c56-0091__Pt2__main__7"/> It was to be	living torture. It was to be	living torture. It was to be	living torture. It was to be	living torture. It was to be
C14_app25	decided	decided,	decided,	decided,	decided,
C14_app26	whether the result of	whether the result of	whether the result of	whether the result of	whether the result of
C14_app27	<lb n="c56-0091__Pt2__main__8"/>				
C14_app28	my curiosity and	my curiosity and	my curiosity and	my curiosity and	my curiosity and
C14_app29	lawless<del rend="strikethrough" sID="c56-0091__Pt2__main__d2e19922"/>desires<del eID="c56-0091__Pt2__main__d2e19922"/>devices	lawless devices	lawless devices	lawless devices	lawless devices
C14_app30	would cause<lb n="c56-0092__main__1"/> the death of two of my	would cause the death of two of my	would cause the death of two of my	would cause the death of two of my	would cause the death of two of my
C14_app31	fellow beings.	fellow-beings:	fellow-beings:	fellow-beings:	fellow-beings:
C14_app32	One a	one a	one a	one a	one a
C14_app33	<lb n="c56-0092__main__2"/>				
C14_app34	smiling	smiling	smiling	smiling	smiling
C14_app35	babe	babe,	babe,	babe,	babe,
C14_app36	full of innocence and	full of innocence and	full of innocence and	full of innocence and	full of innocence and
C14_app37	joy,	joy;	joy;	joy;	joy;
C14_app38	the	the	the	the	the
C14_app39	<lb n="c56-0092__main__3"/>				
C14_app40	other far more dreadfully	other far more dreadfully	other far more dreadfully	other far more dreadfully	other far more dreadfully
C14_app41	murdered	murdered,	murdered,	murdered,	murdered,
C14_app42	with	with	with	with	with
C14_app43	<lb n="c56-0092__main__4"/>				
C14_app44	every	every	every	every	every
C14_app45	agravation <del rend="strikethrough" sID="c56-0092__main__d2e19945"/>ignominy<del eID="c56-0092__main__d2e19945"/>	aggravation of	aggravation of	aggravation of	aggravation of
C14_app46	infamy	in<pb n="161" xml:id="F1818_v1_173"/>famy	in<pb n="161" xml:id="F1818_v1_173"/>famy	infamy	infamy
C14_app47	that could	that could	that could	that could	that could
C14_app48	<lb n="c56-0092__main__5"/>				
C14_app49	make	make	make	make	make
C14_app50	that	the	the	<pb n="161" xml:id="F1823_v1_180"/>the	the
C14_app51	murder	murder	murder	murder	murder
C14_app52	<del rend="strikethrough" sID="c56-0092__main__d2e19953"/>more terrible<del eID="c56-0092__main__d2e19953"/><mdel>.</mdel>memorable	memorable	memorable	memorable	memorable
C14_app53	in horror. Justine	in horror. Justine	in horror. Justine	in horror. Justine	in horror. Justine
C14_app54	<lb n="c56-0092__main__6"/>				
C14_app55	also was a girl of	also was a girl of	also was a girl of	also was a girl of	also was a girl of
C14_app56	merit	merit,	merit,	merit,	merit,
C14_app57	and possessed	and possessed	and possessed	and possessed	and possessed
C14_app58	<lb n="c56-0092__main__7"/>				
