App ID	#fMS	#f1818	#fThomas	#f1823	#f1831
C30_app1	<lb n="c57-0147__main__1"/><milestone spanTo="#c57-0147.07" unit="tei:head"/>Chap. 17<lb n="c57-0147__main__2"/> It	<milestone n="22" type="start" unit="chapter"/><pb n="116" xml:id="F1818_v3_120"/><head sID="novel1_letter4_chapter22_div4_div24_head1"/>CHAPTER VI.<head eID="novel1_letter4_chapter22_div4_div24_head1"/><p sID="novel1_letter4_chapter22_div4_div24_p1"/>I<hi sID="novel1_letter4_chapter22_div4_div24_p1_hi1"/>T<hi eID="novel1_letter4_chapter22_div4_div24_p1_hi1"/>	<milestone n="22" type="start" unit="chapter"/><pb n="116" xml:id="F1818_v3_120"/><head sID="novel1_letter4_chapter22_div4_div24_head1"/>CHAPTER VI.<head eID="novel1_letter4_chapter22_div4_div24_head1"/><p sID="novel1_letter4_chapter22_div4_div24_p1"/>I<hi sID="novel1_letter4_chapter22_div4_div24_p1_hi1"/>T<hi eID="novel1_letter4_chapter22_div4_div24_p1_hi1"/>	<milestone n="22" type="start" unit="chapter"/><pb n="204" xml:id="F1823_v2_477"/><head sID="novel1_letter4_chapter22_div4_div23_head1"/>CHAPTER XI.<head eID="novel1_letter4_chapter22_div4_div23_head1"/><p sID="novel1_letter4_chapter22_div4_div23_p1"/>I<hi sID="novel1_letter4_chapter22_div4_div23_p1_hi1"/>T<hi eID="novel1_letter4_chapter22_div4_div23_p1_hi1"/>	<milestone n="23" type="start" unit="chapter"/><pb n="174" xml:id="F1831_v_190"/><head sID="novel1_letter4_chapter23_div4_div23_head1"/>CHAPTER XXIII.<head eID="novel1_letter4_chapter23_div4_div23_head1"/><p sID="novel1_letter4_chapter23_div4_div23_p1"/>I<hi sID="novel1_letter4_chapter23_div4_div23_p1_hi1"/>T<hi eID="novel1_letter4_chapter23_div4_div23_p1_hi1"/>
C30_app2	was eight	was eight	was eight	was eight	was eight
C30_app3	o'clock	o’clock	o’clock	o’clock	o’clock
C30_app4	when we landed;	when we landed;	when we landed;	when we landed;	when we landed;
C30_app5	we	we	<del sID="novel1_letter4_chapter22_div4_div24_p1_del1"/>we	we	we
C30_app6	<lb n="c57-0147__main__3"/>				
C30_app7	walked <metamark function="insert">^</metamark>for a short time on the	walked for a short time on the	walked for a short time on the	walked for a short time on the	walked for a short time on the
C30_app8	shore	shore,	shore,	shore,	shore,
C30_app9	enjoying the transitory	enjoying the transitory	enjoying the transitory	enjoying the transitory	enjoying the transitory
C30_app10	<lb n="c57-0147__main__4"/> twilight	light,	light,	light,	light,
C30_app11	& then retired	and then retired	and then retired	and then retired	and then retired
C30_app12			to the inn,<del eID="novel1_letter4_chapter22_div4_div24_p1_del1"/>leaving the shore we sought the retreat of our house and garden. <del sID="novel1_letter4_chapter22_div4_div24_p1_add1_del1"/>but<del eID="novel1_letter4_chapter22_div4_div24_p1_add1_del1"/><del sID="novel1_letter4_chapter22_div4_div24_p1_add1_del2"/>a<del eID="novel1_letter4_chapter22_div4_div24_p1_add1_del2"/>Again as I entered the iron gates of the demesne, an <del sID="novel1_letter4_chapter22_div4_div24_p1_add1_del3"/>unres<del eID="novel1_letter4_chapter22_div4_div24_p1_add1_del3"/> unexplainable feeling bade me hold—yet Elizabeth <pb n="117"/>unwarned, and fearless passed on, and I, again half ashamed—& for the first time dreading lest any unholy sight should meet her sense, any shadow of the fiend, should cross her, <del sID="novel1_letter4_chapter22_div4_div24_p1_add1_del4"/>I<del eID="novel1_letter4_chapter22_div4_div24_p1_add1_del4"/> hastily walked on, and passing my arm round her prayed with a feeling of bitter tenderness, that she might never suffer ill. Thus we entered the <del sID="novel1_letter4_chapter22_div4_div24_p1_add1_del5"/>ar<del eID="novel1_letter4_chapter22_div4_div24_p1_add1_del5"/> mansion—and still not speaking, for both our hearts were too full, we went		
C30_app13	to	to	to	to	to
C30_app14			a balcony that overhung		
C30_app15	the	the	the	the	the
C30_app16	Inn	inn,	lake	inn,	inn,
C30_app17	and contem<lb n="c57-0147__main__5"/>plated the lovely scene of waters,	and contemplated the lovely scene of waters,	and contemplated the lovely scene of waters,	and contemplated the lovely scene of waters,	and contemplated the lovely scene of waters,
C30_app18	mountains	woods,	woods,	woods,	woods,
C30_app19	<lb n="c57-0147__main__6"/>&	and	and	and	and
C30_app20	woods	mountains,	mountains,	mountains,	mountains,
C30_app21	obscured in	obscured in	obscured in	obscured in	obscured in
C30_app22	darkness	darkness,	darkness,	darkness,	darkness,
C30_app23	yet still	yet still	yet still	yet still	yet still
C30_app24	allow<lb n="c57-0147__main__7"/>ing<lb n="c57-0147__left_margin__1"/>displaying their<del rend="strikethrough" sID="c57-0147__main__d3e27788"/>their<del eID="c57-0147__main__d3e27788"/><del rend="strikethrough" sID="c57-0147__main__d3e27793"/>dark<del eID="c57-0147__main__d3e27793"/>black outlines– The wind	displaying their black outlines.<p eID="novel1_letter4_chapter22_div4_div24_p1"/><p sID="novel1_letter4_chapter22_div4_div24_p2"/>The wind,	displaying their black outlines.<p eID="novel1_letter4_chapter22_div4_div24_p1"/><p sID="novel1_letter4_chapter22_div4_div24_p2"/>The wind,	displaying their black outlines.<p eID="novel1_letter4_chapter22_div4_div23_p1"/><p sID="novel1_letter4_chapter22_div4_div23_p2"/>The wind,	displaying their black outlines.<p eID="novel1_letter4_chapter23_div4_div23_p1"/><p sID="novel1_letter4_chapter23_div4_div23_p2"/>The wind,
C30_app25	which	which	which	which	which
C30_app26	<lb n="c57-0147__main__8"/>				
C30_app27	had fallen in the	had fallen in the	had fallen in the	had fallen in the	had fallen in the
C30_app28	south	south,	south,	south,	south,
C30_app29	now rose with great	now rose with great	now rose with great	now rose with great	now rose with great
C30_app30	<lb n="c57-0147__main__9"/>				
C30_app31	violence in the	violence in the	violence in the	violence in the	violence in the
C30_app32	west—the	west. The	west. The	west. The	west. The
C30_app33	moon had	moon had	moon had	moon had	moon had
C30_app34	<lb n="c57-0147__main__10"/>				
C30_app35	reached her summit in the	reached her summit in the	reached her summit in the	reached her summit in the	reached her summit in the
C30_app36	heavens	heavens,	heavens,	heavens,	heavens,
C30_app37	<lb n="c57-0147__main__11"/>& was beginning to	and was beginning to	and was beginning to	and was beginning to	and was beginning to
C30_app38	descend	descend;	descend;	descend;	descend;
C30_app39	the clouds	the clouds	the clouds	the clouds	the clouds
C30_app40	<lb n="c57-0147__main__12"/>				
C30_app41	swept across it swifter than the	swept across it swifter than the	swept across it swifter than the	swept across it swifter than the	swept across it swifter than the
C30_app42	<lb n="c57-0147__main__13"/>				
C30_app43	flight of the	flight of the	flight of the	flight of the	flight of the
C30_app44	vulture	vulture,	vulture,	vulture,	vulture,
C30_app45	and dimmed her	and dimmed her	and dimmed her	and dimmed her	and dimmed her
C30_app46	<lb n="c57-0147__main__14"/> rays	rays,	rays,	rays,	rays,
C30_app47	while	while	while	while	while
C30_app48	the	<pb n="117" xml:id="F1818_v3_121"/>the	<pb n="117" xml:id="F1818_v3_121"/>the	<pb n="205" xml:id="F1823_v2_478"/>the	the
C30_app49	lake reflected the	lake reflected the	lake reflected the	lake reflected the	lake reflected the
C30_app50	scene<lb n="c57-0147__main__15"/>of	scene of	scene of	scene of	scene of
C30_app51	the busy	the busy	the busy	the busy	the busy
C30_app52	heavens <metamark function="insert">^</metamark><mdel>m</mdel> made	heavens, rendered	heavens, rendered	heavens, rendered	heavens, rendered
C30_app53	still busier by the <metamark function="insert">^</metamark>restless waves	still busier by the restless waves	still busier by the restless waves	still busier by the restless waves	still busier by the restless waves
C30_app54	<lb n="c57-0147__main__16"/>				
C30_app55	that were beginning to	that were beginning to	that were beginning to	that were beginning to	that were beginning to
C30_app56	rise— <mdel>s</mdel>Suddenly <lb n="c57-0147__main__17"/>	rise. Suddenly	rise. Suddenly	rise. Suddenly	rise. Suddenly
C30_app57	a heavy storm of rain	a heavy storm of rain	a heavy storm of rain	a heavy storm of rain	a heavy storm of rain
