App ID	#f1818	#f1823	#f1831	#fMS	#fThomas
C20_app1	<milestone n="13" type="start" unit="chapter"/><pb n="084" xml:id="F1818_v2_088"/><head sID="novel1_letter4_chapter13_div4_div14_head1"/>CHAPTER VI.<head eID="novel1_letter4_chapter13_div4_div14_head1"/><p sID="novel1_letter4_chapter13_div4_div14_p1"/>“S<hi sID="novel1_letter4_chapter13_div4_div14_p1_hi1"/>OME<hi eID="novel1_letter4_chapter13_div4_div14_p1_hi1"/> 	<milestone n="13" type="start" unit="chapter"/><head sID="novel1_letter4_chapter13_div4_div14_head1"/>CHAPTER II.<head eID="novel1_letter4_chapter13_div4_div14_head1"/><p sID="novel1_letter4_chapter13_div4_div14_p1"/>“S<hi sID="novel1_letter4_chapter13_div4_div14_p1_hi1"/>OME<hi eID="novel1_letter4_chapter13_div4_div14_p1_hi1"/> 	<milestone n="14" type="start" unit="chapter"/><head sID="novel1_letter4_chapter14_div4_div14_head1"/>CHAPTER XIV.<head eID="novel1_letter4_chapter14_div4_div14_head1"/><p sID="novel1_letter4_chapter14_div4_div14_p1"/>“S<hi sID="novel1_letter4_chapter14_div4_div14_p1_hi1"/>OME<hi eID="novel1_letter4_chapter14_div4_div14_p1_hi1"/> 	<lb n="c57-0031__main__1"/><milestone spanTo="#c57-0031.11" unit="tei:head"/>another Chapter<lb n="c57-0031__main__2"/> Sometime 	<milestone n="13" type="start" unit="chapter"/><pb n="084" xml:id="F1818_v2_088"/><head sID="novel1_letter4_chapter13_div4_div14_head1"/>CHAPTER VI.<head eID="novel1_letter4_chapter13_div4_div14_head1"/><p sID="novel1_letter4_chapter13_div4_div14_p1"/>“S<hi sID="novel1_letter4_chapter13_div4_div14_p1_hi1"/>OME<hi eID="novel1_letter4_chapter13_div4_div14_p1_hi1"/> 
C20_app2	time 	time 	time 		time 
C20_app3	elapsed before I 	elapsed before I 	elapsed before I 	elapsed before I 	elapsed before I 
C20_app4	learned 	learned 	learned 	<del next="#c57-0031.02" rend="strikethrough" sID="c57-0031__main__d3e4924"/>became informed<del eID="c57-0031__main__d3e4924"/><lb n="c57-0031__main__3"/><lb n="c57-0031__left_margin__1"/><del rend="strikethrough" sID="c57-0031__left_margin__d3e4935" xml:id="c57-0031.02"/> of th <del eID="c57-0031__left_margin__d3e4935"/><mdel>of</mdel><metamark function="insert">^</metamark>learned 	learned 
C20_app5	the history of my friends. It was one 	the history of my friends. It was one 	the history of my friends. It was one 	the history of my friends. It was one 	the history of my friends. It was one 
C20_app6				<del rend="strikethrough" sID="c57-0031__main__d3e4957"/>that<del eID="c57-0031__main__d3e4957"/><lb n="c57-0031__main__4"/><lb n="c57-0031__left_margin__1"/> 	
C20_app7	which could not fail to impress itself deeply 	which could not fail to impress itself deeply 	which could not fail to impress itself deeply 	which could not fail to impress itself deeply 	which could not fail to impress itself deeply 
C20_app8	on 	on 	on 	<mdel>in</mdel>on 	on 
C20_app9	my 	my 	my 	my 	my 
C20_app10	mind, 	mind, 	mind, 	<lb n="c57-0031__main__5"/> mind 	mind, 
C20_app11	unfolding as it did a number of 	unfolding as it did a number of 	unfolding as it did a number of 	unfolding as it did a number of 	unfolding as it did a number of 
C20_app12		circumstances, 	circumstances, 	<lb n="c57-0031__main__6"/> 	
C20_app13	circumstances 			circumstances 	circumstances 
C20_app14	each 	each 	each 	each 	each 
C20_app15	interesting and wonderful 	interesting and wonderful 	interesting and wonderful 	inter<del rend="strikethrough" sID="c57-0031__main__d3e4988"/>r<del eID="c57-0031__main__d3e4988"/>esting &wonder<lb n="c57-0031__main__7"/>ful 	interesting and wonderful 
C20_app16	to one so utterly inexperienced as I 	to one so utterly inexperienced as I 	to one so utterly inexperienced as I 	to one so utterly inexperienced as I 	to one so utterly inexperienced as I 
C20_app17	was.<p eID="novel1_letter4_chapter13_div4_div14_p1"/><p sID="novel1_letter4_chapter13_div4_div14_p2"/>“The 	was.<p eID="novel1_letter4_chapter13_div4_div14_p1"/><p sID="novel1_letter4_chapter13_div4_div14_p2"/>“The 	was.<p eID="novel1_letter4_chapter14_div4_div14_p1"/><p sID="novel1_letter4_chapter14_div4_div14_p2"/>“The 	<lb n="c57-0031__main__8"/> was. <del rend="vertical_line" sID="c57-0031__main__d3e5000"/>2<del eID="c57-0031__main__d3e5000"/><milestone unit="tei:p"/><lb n="c57-0031__main__9"/> The 	was.<p eID="novel1_letter4_chapter13_div4_div14_p1"/><p sID="novel1_letter4_chapter13_div4_div14_p2"/>“The 
C20_app18	name of the old man was De Lacey. 	name of the old man was De Lacey. 	name of the old man was De Lacey. 	name of the old man was De Lacey. 	name of the old man was De Lacey. 
C20_app19				<lb n="c57-0031__main__10"/> 	
C20_app20	He was 	He was 	He was 	He was 	He was 
