App ID	#fMS	#f1818	#fThomas	#f1823	#f1831
C10_app1	<lb n="c56-0045__main__1"/><milestone spanTo="#c56-0045.04" unit="tei:head"/>Chapter 7<shi rend="sup"></shi><milestone unit="tei:p"/><lb n="c56-0045__main__2"/>	<milestone n="4" type="start" unit="chapter"/><head sID="novel1_letter4_chapter4_div4_div4_head1"/>CHAPTER IV.<head eID="novel1_letter4_chapter4_div4_div4_head1"/><p sID="novel1_letter4_chapter4_div4_div4_p1"/>I<hi sID="novel1_letter4_chapter4_div4_div4_p1_hi1"/>T<hi eID="novel1_letter4_chapter4_div4_div4_p1_hi1"/>	<milestone n="4" type="start" unit="chapter"/><head sID="novel1_letter4_chapter4_div4_div4_head1"/>CHAPTER IV.<head eID="novel1_letter4_chapter4_div4_div4_head1"/><p sID="novel1_letter4_chapter4_div4_div4_p1"/>I<hi sID="novel1_letter4_chapter4_div4_div4_p1_hi1"/>T<hi eID="novel1_letter4_chapter4_div4_div4_p1_hi1"/>	<milestone n="4" type="start" unit="chapter"/><head sID="novel1_letter4_chapter4_div4_div4_head1"/>CHAPTER IV.<head eID="novel1_letter4_chapter4_div4_div4_head1"/><p sID="novel1_letter4_chapter4_div4_div4_p1"/>I<hi sID="novel1_letter4_chapter4_div4_div4_p1_hi1"/>T<hi eID="novel1_letter4_chapter4_div4_div4_p1_hi1"/>	<milestone n="5" type="start" unit="chapter"/><head sID="novel1_letter4_chapter5_div4_div5_head1"/>CHAPTER V.<head eID="novel1_letter4_chapter5_div4_div5_head1"/><p sID="novel1_letter4_chapter5_div4_div5_p1"/>
C10_app2	It				I<hi sID="novel1_letter4_chapter5_div4_div5_p1_hi1"/>T<hi eID="novel1_letter4_chapter5_div4_div5_p1_hi1"/>
C10_app3	was on a dreary night of	was on a dreary night of	was on a dreary night of	was on a dreary night of	was on a dreary night of
C10_app4	November <lb n="c56-0045__main__3"/>	November,	November,	November,	November,
C10_app5	that I beheld	that I beheld	that I beheld	that I beheld	that I beheld
C10_app6	<del rend="strikethrough" sID="c56-0045__main__d2e9718"/>the frame on whic<del eID="c56-0045__main__d2e9718"/>	the accomplishment of	the accomplishment of	the accomplishment of	the accomplishment of
C10_app7	my	my	my	my	my
C10_app8	man comple<mdel>at</mdel>teed,. <del rend="strikethrough" sID="c56-0045__main__d2e9739"/>And<del eID="c56-0045__main__d2e9739"/><lb n="c56-0045__main__4"/>	toils.	toils.	toils.	toils.
C10_app9	with an anxiety that almost amount<lb n="c56-0045__main__5"/>ed to	With an anxiety that almost amounted to	With an anxiety that almost amounted to	With an anxiety that almost amounted to	With an anxiety that almost amounted to
C10_app10	agony	agony,	agony,	agony,	agony,
C10_app11	I collected	I collected	I collected	I collected	I collected
C10_app12		the	the	the	the
C10_app13	instruments of life	instruments of life	instruments of life	instruments of life	instruments of life
C10_app14	<lb n="c56-0045__main__6"/>				
C10_app15	around	around	around	around	around
