App ID	#fMS	#f1818	#fThomas	#f1823	#f1831
C31_app1	<lb n="c57-0157__main__1"/><milestone spanTo="#c57-0157.11" unit="tei:head"/>Chap. 18<milestone unit="tei:p"/><lb n="c57-0157__main__2"/><del rend="strikethrough" sID="c57-0157__main__d3e30042"/>Alas!<del eID="c57-0157__main__d3e30042"/><del rend="strikethrough" sID="c57-0157__main__d3e30045"/>reflection in<del eID="c57-0157__main__d3e30045"/><del rend="strikethrough" sID="c57-0157__main__d3e30048"/>the<del eID="c57-0157__main__d3e30048"/><metamark function="insert">^</metamark>my	<milestone n="23" type="start" unit="chapter"/><pb n="134" xml:id="F1818_v3_138"/><head sID="novel1_letter4_chapter23_div4_div25_head1"/>CHAPTER VII.<head eID="novel1_letter4_chapter23_div4_div25_head1"/><p sID="novel1_letter4_chapter23_div4_div25_p1"/>M<hi sID="novel1_letter4_chapter23_div4_div25_p1_hi1"/>Y<hi eID="novel1_letter4_chapter23_div4_div25_p1_hi1"/>	<milestone n="23" type="start" unit="chapter"/><pb n="134" xml:id="F1818_v3_138"/><head sID="novel1_letter4_chapter23_div4_div25_head1"/>CHAPTER VII.<head eID="novel1_letter4_chapter23_div4_div25_head1"/><p sID="novel1_letter4_chapter23_div4_div25_p1"/>M<hi sID="novel1_letter4_chapter23_div4_div25_p1_hi1"/>Y<hi eID="novel1_letter4_chapter23_div4_div25_p1_hi1"/>	<milestone n="23" type="start" unit="chapter"/><pb n="222" xml:id="F1823_v2_495"/><head sID="novel1_letter4_chapter23_div4_div24_head1"/>CHAPTER XII<head eID="novel1_letter4_chapter23_div4_div24_head1"/><p sID="novel1_letter4_chapter23_div4_div24_p1"/>M<hi sID="novel1_letter4_chapter23_div4_div24_p1_hi1"/>Y<hi eID="novel1_letter4_chapter23_div4_div24_p1_hi1"/>	<milestone n="24" type="start" unit="chapter"/><head sID="novel1_letter4_chapter24_div4_div24_head1"/>CHAPTER XXIV.<head eID="novel1_letter4_chapter24_div4_div24_head1"/><p sID="novel1_letter4_chapter24_div4_div24_p1"/>M<hi sID="novel1_letter4_chapter24_div4_div24_p1_hi1"/>Y<hi eID="novel1_letter4_chapter24_div4_div24_p1_hi1"/>
C31_app2	present situation was	present situation was	present situation was	present situation was	present situation was
C31_app3	<lb n="c57-0157__main__3"/><del rend="strikethrough" sID="c57-0157__main__d3e30065"/>impossible<del eID="c57-0157__main__d3e30065"/>one	one	one	one	one
C31_app4	in which all <lb n="c57-0157__left_margin__1"/>volun<lb n="c57-0157__left_margin__2"/>tary<lb n="c57-0157__left_margin__3"/> thought	in which all voluntary thought	in which all voluntary thought	in which all voluntary thought	in which all voluntary thought
C31_app5	<lb n="c57-0157__left_margin__4"/>				
C31_app6	was	was	was	was	was
C31_app7	<lb n="c57-0157__left_margin__5"/>				
C31_app8	swallowed	swallowed	swallowed	swallowed	swallowed
C31_app9	<lb n="c57-0157__left_margin__6"/>				
C31_app10	up and	up and	up and	up and	up and
C31_app11	<lb n="c57-0157__left_margin__7"/>				
C31_app12	lost.	lost.	lost.	lost.	lost.
C31_app13	–				
C31_app14	I was hurried away by	I was hurried away by	I was hurried away by	I was hurried away by	I was hurried away by
C31_app15	fury –	fury;	fury;	fury;	fury;
C31_app16	Revenge alone	revenge alone	revenge alone	revenge alone	revenge alone
C31_app17	<lb n="c57-0157__main__4"/><del rend="strikethrough" sID="c57-0157__main__d3e30104"/>inspired<del eID="c57-0157__main__d3e30104"/>endowed	endowed	endowed	endowed	endowed
C31_app18	me with	me with	me with	me with	me with
