App ID	#fMS	#f1818	#fThomas	#f1823	#f1831
C09_app1	<lb n="c56-0031__main__1"/><milestone spanTo="#c56-0031.07" unit="tei:head"/>Chap. 5<lb n="c56-0031__main__2"/>	<milestone n="3" type="start" unit="chapter"/><pb n="078" xml:id="F1818_v1_090"/><head sID="novel1_letter4_chapter3_div4_div3_head1"/>CHAPTER III.<head eID="novel1_letter4_chapter3_div4_div3_head1"/><p sID="novel1_letter4_chapter3_div4_div3_p1"/>	<milestone n="3" type="start" unit="chapter"/><pb n="078" xml:id="F1818_v1_090"/><head sID="novel1_letter4_chapter3_div4_div3_head1"/>CHAPTER III.<head eID="novel1_letter4_chapter3_div4_div3_head1"/><p sID="novel1_letter4_chapter3_div4_div3_p1"/>	<milestone n="3" type="start" unit="chapter"/><head sID="novel1_letter4_chapter3_div4_div3_head1"/>CHAPTER III.<head eID="novel1_letter4_chapter3_div4_div3_head1"/><p sID="novel1_letter4_chapter3_div4_div3_p1"/>From	<milestone n="4" type="start" unit="chapter"/><head sID="novel1_letter4_chapter4_div4_div4_head1"/>CHAPTER IV.<head eID="novel1_letter4_chapter4_div4_div4_head1"/><p sID="novel1_letter4_chapter4_div4_div4_p1"/>F<hi sID="novel1_letter4_chapter4_div4_div4_p1_hi1"/>ROM<hi eID="novel1_letter4_chapter4_div4_div4_p1_hi1"/>
C09_app2	From	F<hi sID="novel1_letter4_chapter3_div4_div3_p1_hi1"/>ROM<hi eID="novel1_letter4_chapter3_div4_div3_p1_hi1"/>	F<hi sID="novel1_letter4_chapter3_div4_div3_p1_hi1"/>ROM<hi eID="novel1_letter4_chapter3_div4_div3_p1_hi1"/>		
C09_app3	this day natural	this day natural	this day natural	this day natural	this day natural
C09_app4	philosophy	philosophy,	philosophy,	philosophy,	philosophy,
C09_app5	and parti<lb n="c56-0031__main__3"/>cularly	and particularly	and particularly	and particularly	and particularly
C09_app6	chemistry	chemistry, in the most comprehensive sense of the term,	chemistry, in the most comprehensive sense of the term,	chemistry, in the most comprehensive sense of the term,	chemistry, in the most comprehensive sense of the term,
C09_app7	became <metamark function="insert">^</metamark>nearly my sole	became nearly my sole	became nearly my sole	became nearly my sole	became nearly my sole
C09_app8	<del rend="strikethrough" sID="c56-0031__main__d2e6160"/>appli<del eID="c56-0031__main__d2e6160"/><lb n="c56-0031__main__4"/> study.	occupation.	occupation.	occupation.	occupation.
C09_app9	I read with ardour	I read with ardour	I read with ardour	I read with ardour	I read with ardour
C09_app10	<del rend="strikethrough" sID="c56-0031__main__d2e6165"/>m<del eID="c56-0031__main__d2e6165"/>				
C09_app11	those	those	those	those	those
C09_app12	books <lb n="c56-0031__main__5"/>	works,	works,	works,	works,
C09_app13	so full of genius and	so full of genius and	so full of genius and	so full of genius and	so full of genius and
C09_app14	discrimination <lb n="c56-0031__main__6"/><mdel>th</mdel><del rend="strikethrough" sID="c56-0031__main__d2e6178"/>at have been written<del eID="c56-0031__main__d2e6178"/><lb n="c56-0031__left_margin__1"/>	discrimination,	discrimination,	discrimination,	discrimination,
C09_app15	which modern	which modern	which modern	which modern	which modern
C09_app16	<lb n="c56-0031__left_margin__2"/> enquirers	inquirers have written	inquirers have written	inquirers have written	inquirers have written
C09_app17	on these sub<lb n="c56-0031__main__7"/>jects. I attended the lectures, and culti<lb n="c56-0031__main__8"/>vated the	on these subjects. I attended the lectures, and cultivated the	on these subjects. I attended the lectures, and cultivated the	on these subjects. I attended the lectures, and cultivated the	on these subjects. I attended the lectures, and cultivated the
