App ID	#fMS	#f1818	#fThomas	#f1823	#f1831
C25_app1	<lb n="c57-0092__main__1"/><milestone spanTo="#c57-0092.02" unit="tei:head"/>Chap <del rend="strikethrough" sID="c57-0092__main__d3e16680"/>11<del eID="c57-0092__main__d3e16680"/> 2.<milestone unit="tei:p"/><lb n="c57-0092__main__2"/> London	<milestone n="18" type="start" unit="chapter"/><pb n="021" xml:id="F1818_v3_025"/><head sID="novel1_letter4_chapter18_div4_div20_head1"/>CHAPTER II.<head eID="novel1_letter4_chapter18_div4_div20_head1"/><p sID="novel1_letter4_chapter18_div4_div20_p1"/>L<hi sID="novel1_letter4_chapter18_div4_div20_p1_hi1"/>ONDON<hi eID="novel1_letter4_chapter18_div4_div20_p1_hi1"/>	<milestone n="18" type="start" unit="chapter"/><pb n="021" xml:id="F1818_v3_025"/><head sID="novel1_letter4_chapter18_div4_div20_head1"/>CHAPTER II.<head eID="novel1_letter4_chapter18_div4_div20_head1"/><p sID="novel1_letter4_chapter18_div4_div20_p1"/>L<hi sID="novel1_letter4_chapter18_div4_div20_p1_hi1"/>ONDON<hi eID="novel1_letter4_chapter18_div4_div20_p1_hi1"/>	<milestone n="18" type="start" unit="chapter"/><pb n="109" xml:id="F1823_v2_382"/><head sID="novel1_letter4_chapter18_div4_div19_head1"/>CHAPTER VII.<head eID="novel1_letter4_chapter18_div4_div19_head1"/><p sID="novel1_letter4_chapter18_div4_div19_p1"/>L<hi sID="novel1_letter4_chapter18_div4_div19_p1_hi1"/>ONDON<hi eID="novel1_letter4_chapter18_div4_div19_p1_hi1"/>	<milestone n="19" type="start" unit="chapter"/><pb n="139" xml:id="F1831_v_155"/><head sID="novel1_letter4_chapter19_div4_div19_head1"/>CHAPTER XIX.<head eID="novel1_letter4_chapter19_div4_div19_head1"/><p sID="novel1_letter4_chapter19_div4_div19_p1"/>L<hi sID="novel1_letter4_chapter19_div4_div19_p1_hi1"/>ONDON<hi eID="novel1_letter4_chapter19_div4_div19_p1_hi1"/>
C25_app2	was	was	was	was	was
C25_app3	<del rend="strikethrough" sID="c57-0092__main__d3e16690"/>the<del eID="c57-0092__main__d3e16690"/>				
C25_app4	our present point	our present point	our present point	our present point	our present point
C25_app5	<lb n="c57-0092__main__3"/>				
C25_app6	of rest; we determined to remain several	of rest; we determined to remain several	of rest; we determined to remain several	of rest; we determined to remain several	of rest; we determined to remain several
C25_app7	<lb n="c57-0092__main__4"/>				
C25_app8	months in this wonderful & celebrated city.	months in this wonderful and celebrated city.	months in this wonderful and celebrated city.	months in this wonderful and celebrated city.	months in this wonderful and celebrated city.
C25_app9	<lb n="c57-0092__main__5"/> Cl<mdel>ai</mdel><metamark function="insert">^</metamark>erval <del rend="strikethrough" sID="c57-0092__main__d3e16717"/>wished<del eID="c57-0092__main__d3e16717"/>desired for	Clerval desired	Clerval desired	Clerval desired	Clerval desired
C25_app10	the intercourse of	the intercourse of	the intercourse of	the intercourse of	the intercourse of
