App ID	#fMS	#f1818	#fThomas	#f1823	#f1831
C01_app1		<milestone n="1" unit="volume"/><milestone n="1" type="start" unit="frontmatter"/><milestone n="1" type="end" unit="frontmatter"/><milestone n="1" type="start" unit="preface"/><pb n="viii" xml:id="F1818_v1_007"/><head sID="preface1_head1"/>PREFACE.<head eID="preface1_head1"/><p sID="preface1_p1"/>T<hi sID="preface1_p1_hi1"/>HE<hi eID="preface1_p1_hi1"/>	<milestone n="1" unit="volume"/><milestone n="1" type="start" unit="frontmatter"/><milestone n="1" type="end" unit="frontmatter"/><milestone n="1" type="start" unit="preface"/><pb n="viii" xml:id="F1818_v1_007"/><head sID="preface1_head1"/>PREFACE.<head eID="preface1_head1"/><p sID="preface1_p1"/>T<hi sID="preface1_p1_hi1"/>HE<hi eID="preface1_p1_hi1"/>	<milestone n="1" unit="volume"/><milestone n="1" type="start" unit="frontmatter"/><milestone n="1" type="end" unit="frontmatter"/><pb xml:id="F1823_v1_012"/><milestone n="1" type="start" unit="preface"/><head sID="preface1_head1"/>PREFACE.<head eID="preface1_head1"/><p sID="preface1_p1"/>T<hi sID="preface1_p1_hi1"/>HE<hi eID="preface1_p1_hi1"/>	<milestone n="1" type="start" unit="frontmatter"/><milestone n="1" type="end" unit="frontmatter"/><milestone n="1" type="start" unit="introduction"/><milestone n="1" type="end" unit="introduction"/><milestone n="1" type="start" unit="preface"/><pb xml:id="F1831_v_017"/><head sID="preface1_head1"/>PREFACE.<head eID="preface1_head1"/><p sID="preface1_p1"/>T<hi sID="preface1_p1_hi1"/>HE<hi eID="preface1_p1_hi1"/>
C01_app2		event on which this fiction is founded has been supposed, by Dr. Darwin, and some of the physiological writers of Germany, as not of impossible occurrence. I shall not be supposed as according the remotest degree of serious faith to such an imagination; yet, in assuming it as the basis of a work of fancy, I have not considered myself as merely	event on which this fiction is founded has been supposed, by Dr. Darwin, and some of the physiological writers of Germany, as not of impossible occurrence. I shall not be supposed as according the remotest degree of serious faith to such an imagination; yet, in assuming it as the basis of a work of fancy, I have not considered myself as merely	event on which this fiction is founded has been supposed, by Dr. Darwin, and some of the physiological writers of Germany, as not of impossible occurrence. I shall not be supposed as according the remotest degree of serious faith to such an imagination; yet, in assuming it as the basis of a work of fancy, I have not considered myself as merely	event on which this fiction is founded has been supposed, by Dr. Darwin, and some of the physiological writers of Germany, as not of impossible occurrence. I shall not be supposed as according the remotest degree of serious faith to such an imagination; yet, in assuming it as the basis of a work of fancy, I have not considered myself as merely
C01_app3		weaving	weaving	<pb n="vi" xml:id="F1823_v1_013"/>weaving	weaving
C01_app4		a series of supernatural terrors. The event on	a series of supernatural terrors. The event on	a series of supernatural terrors. The event on	a series of supernatural terrors. The event on
C01_app5		<pb n="viii" xml:id="F1818_v1_008"/>which	<pb n="viii" xml:id="F1818_v1_008"/>which	which	which
C01_app6		the interest of the story depends is exempt from the disadvantages of a mere tale of spectres or enchantment. It was recommended by the novelty of the situations which it developes; and, however impossible as a physical fact, affords a point of view to the imagination for the delineating of human passions more comprehensive and commanding than any which the ordinary relations of existing events can yield.<p eID="preface1_p1"/><p sID="preface1_p2"/>I have thus endeavoured to preserve the truth of the elementary	the interest of the story depends is exempt from the disadvantages of a mere tale of spectres or enchantment. It was recommended by the novelty of the situations which it developes; and, however impossible as a physical fact, affords a point of view to the imagination for the delineating of human passions more comprehensive and commanding than any which the ordinary relations of existing events can yield.<p eID="preface1_p1"/><p sID="preface1_p2"/>I have thus endeavoured to preserve the truth of the elementary	the interest of the story depends is exempt from the disadvantages of a mere tale of spectres or enchantment. It was recommended by the novelty of the situations which it developes; and, however impossible as a physical fact, affords a point of view to the imagination for the delineating of human passions more comprehensive and commanding than any which the ordinary relations of existing events can yield.<p eID="preface1_p1"/><p sID="preface1_p2"/>I have thus endeavoured to preserve the truth of the elementary	the interest of the story depends is exempt from the disadvantages of a mere tale of spectres or enchantment. It was recommended by the novelty of the situations which it developes; and, however impossible as a physical fact, affords a point of view to the imagination for the delineating of human passions more comprehensive and commanding than any which the ordinary relations of existing events can yield.<p eID="preface1_p1"/><p sID="preface1_p2"/>I have thus endeavoured to preserve the truth of the elementary
C01_app7		principles	principles	<pb n="vii" xml:id="F1823_v1_014"/>principles	principles
C01_app8		of human nature, while I have not scrupled to innovate upon their combinations. The <hi sID="preface1_p2_hi1"/>Iliad<hi eID="preface1_p2_hi1"/>, the tragic poetry of	of human nature, while I have not scrupled to innovate upon their combinations. The <hi sID="preface1_p2_hi1"/>Iliad<hi eID="preface1_p2_hi1"/>, the tragic poetry of	of human nature, while I have not scrupled to innovate upon their combinations. The Iliad, the tragic poetry of	of human nature, while I have not scrupled to innovate upon their combinations. The Iliad, the tragic poetry of
C01_app9		Greece,—Shakespeare,	Greece,—Shakespeare,	Greece,—Shakespeare,	Greece,—Shakspeare,
C01_app10		in the	in the	in the	in the
