App ID	#f1818	#f1823	#f1831	#fMS	#fThomas
C02_app1	<milestone n="1" type="start" unit="novel"/><pb xml:id="F1818_v1_013"/><head sID="novel1_head1"/>FRANKENSTEIN;<head eID="novel1_head1"/><head sID="novel1_head2"/><hi sID="novel1_head2_hi1"/>OR, THE<hi eID="novel1_head2_hi1"/><head eID="novel1_head2"/><head sID="novel1_head3"/><hi sID="novel1_head3_hi1"/>MODERN 	<milestone n="1" type="start" unit="novel"/><pb xml:id="F1823_v1_020"/><head sID="novel1_head1"/>FRANKENSTEIN;<head eID="novel1_head1"/><head sID="novel1_head2"/><hi sID="novel1_head2_hi1"/>OR<hi eID="novel1_head2_hi1"/>,<head eID="novel1_head2"/><head sID="novel1_head3"/>THE MODERN 	<milestone n="1" type="start" unit="novel"/><pb xml:id="F1831_v_019"/><head sID="novel1_head1"/>FRANKENSTEIN;<head eID="novel1_head1"/><head sID="novel1_head2"/><hi sID="novel1_head2_hi1"/>OR<hi eID="novel1_head2_hi1"/>,<head eID="novel1_head2"/><head sID="novel1_head3"/>THE MODERN 	 	<milestone n="1" type="start" unit="novel"/><pb xml:id="F1818_v1_013"/><head sID="novel1_head1"/>FRANKENSTEIN;<head eID="novel1_head1"/><head sID="novel1_head2"/><hi sID="novel1_head2_hi1"/>OR, THE<hi eID="novel1_head2_hi1"/><head eID="novel1_head2"/><head sID="novel1_head3"/><hi sID="novel1_head3_hi1"/>MODERN 
C02_app2	PROMETHEUS.<hi eID="novel1_head3_hi1"/><head eID="novel1_head3"/><milestone n="1" type="start" unit="letter"/><head sID="novel1_letter1_div1_head1"/>LETTER 	PROMETHEUS.<head eID="novel1_head3"/><milestone n="1" type="start" unit="letter"/><head sID="novel1_letter1_div1_head1"/>LETTER 	PROMETHEUS.<head eID="novel1_head3"/><milestone n="1" type="start" unit="letter"/><head sID="novel1_letter1_div1_head1"/>LETTER 		PROMETHEUS.<hi eID="novel1_head3_hi1"/><head eID="novel1_head3"/><milestone n="1" type="start" unit="letter"/><head sID="novel1_letter1_div1_head1"/>LETTER 
C02_app3	I<head eID="novel1_letter1_div1_head1"/><ab sID="novel1_letter1_div1_ab1"/><hi sID="novel1_letter1_div1_ab1_hi1"/>To 	I.<head eID="novel1_letter1_div1_head1"/><head sID="novel1_letter1_div1_head2"/><hi sID="novel1_letter1_div1_head2_hi1"/>To 	I.<head eID="novel1_letter1_div1_head1"/><head sID="novel1_letter1_div1_head2"/><hi sID="novel1_letter1_div1_head2_hi1"/>To 		I<head eID="novel1_letter1_div1_head1"/><ab sID="novel1_letter1_div1_ab1"/><hi sID="novel1_letter1_div1_ab1_hi1"/>To 
C02_app4	Mrs.<hi eID="novel1_letter1_div1_ab1_hi1"/> S<hi sID="novel1_letter1_div1_ab1_hi2"/>AVILLE<hi eID="novel1_letter1_div1_ab1_hi2"/>, 	Mrs<hi eID="novel1_letter1_div1_head2_hi1"/>. S<hi sID="novel1_letter1_div1_head2_hi2"/>AVILLE<hi eID="novel1_letter1_div1_head2_hi2"/>, 	Mrs. Saville, 		Mrs.<hi eID="novel1_letter1_div1_ab1_hi1"/> S<hi sID="novel1_letter1_div1_ab1_hi2"/>AVILLE<hi eID="novel1_letter1_div1_ab1_hi2"/>, 
C02_app5	<hi sID="novel1_letter1_div1_ab1_hi3"/>England.<hi eID="novel1_letter1_div1_ab1_hi3"/><ab eID="novel1_letter1_div1_ab1"/><p sID="novel1_letter1_div1_p1"/>St. 	<hi sID="novel1_letter1_div1_head2_hi3"/>England<hi eID="novel1_letter1_div1_head2_hi3"/>.<head eID="novel1_letter1_div1_head2"/><p sID="novel1_letter1_div1_p1"/> St. 	England.<hi eID="novel1_letter1_div1_head2_hi1"/><head eID="novel1_letter1_div1_head2"/><p sID="novel1_letter1_div1_p1"/>St. 		<hi sID="novel1_letter1_div1_ab1_hi3"/>England.<hi eID="novel1_letter1_div1_ab1_hi3"/><ab eID="novel1_letter1_div1_ab1"/><p sID="novel1_letter1_div1_p1"/>St. 
C02_app6	Petersburgh, Dec. 11th, 17—.<p eID="novel1_letter1_div1_p1"/><p sID="novel1_letter1_div1_p2"/>Y<hi sID="novel1_letter1_div1_p2_hi1"/>OU<hi eID="novel1_letter1_div1_p2_hi1"/> will rejoice to hear that no disaster has accompanied the commencement of an enterprise which you have regarded with such evil forebodings. I arrived here yesterday; and my first task is to assure my dear sister of my welfare, and increasing confidence in the success of my undertaking.<p eID="novel1_letter1_div1_p2"/><p sID="novel1_letter1_div1_p3"/>I am already far north of London; and as I walk in the streets of 	Petersburgh, Dec. 11th, 17—.<p eID="novel1_letter1_div1_p1"/><p sID="novel1_letter1_div1_p2"/>Y<hi sID="novel1_letter1_div1_p2_hi1"/>OU<hi eID="novel1_letter1_div1_p2_hi1"/> will rejoice to hear that no disaster has accompanied the commencement of an enterprise which you have regarded with such evil forebodings. I arrived here yesterday; and my first task is to assure my dear sister of my welfare, and increasing confidence in the success of my undertaking.<p eID="novel1_letter1_div1_p2"/><p sID="novel1_letter1_div1_p3"/>I am already far north of London; and as I walk in the streets of 	Petersburgh, Dec. 11th, 17—.<p eID="novel1_letter1_div1_p1"/><p sID="novel1_letter1_div1_p2"/>Y<hi sID="novel1_letter1_div1_p2_hi1"/>OU<hi eID="novel1_letter1_div1_p2_hi1"/> will rejoice to hear that no disaster has accompanied the commencement of an enterprise which you have regarded with such evil forebodings. I arrived here yesterday; and my first task is to assure my dear sister of my welfare, and increasing confidence in the success of my undertaking.<p eID="novel1_letter1_div1_p2"/><p sID="novel1_letter1_div1_p3"/>I am already far north of London; and as I walk in the streets of 		Petersburgh, Dec. 11th, 17—.<p eID="novel1_letter1_div1_p1"/><p sID="novel1_letter1_div1_p2"/>Y<hi sID="novel1_letter1_div1_p2_hi1"/>OU<hi eID="novel1_letter1_div1_p2_hi1"/> will rejoice to hear that no disaster has accompanied the commencement of an enterprise which you have regarded with such evil forebodings. I arrived here yesterday; and my first task is to assure my dear sister of my welfare, and increasing confidence in the success of my undertaking.<p eID="novel1_letter1_div1_p2"/><p sID="novel1_letter1_div1_p3"/>I am already far north of London; and as I walk in the streets of 
C02_app7	Peters<pb n="002" xml:id="F1818_v1_014"/>burgh, 	Peters<pb n="2" xml:id="F1823_v1_021"/>burgh, 	Petersburgh, 		Peters<pb n="002" xml:id="F1818_v1_014"/>burgh, 
C02_app8	I feel a cold northern breeze play upon my cheeks, which braces my nerves, and fills me with delight. Do you understand this feeling? This breeze, which has travelled from the regions towards which I am advancing, gives me a foretaste of those icy climes. Inspirited by this wind of promise, my day dreams become more fervent and vivid. I try in vain to be persuaded that the pole is the seat of frost and desolation; it ever presents itself to my imagination as the region of beauty and delight. There, Margaret, the sun is 	I feel a cold northern breeze play upon my cheeks, which braces my nerves, and fills me with delight. Do you understand this feeling? This breeze, which has travelled from the regions towards which I am advancing, gives me a foretaste of those icy climes. Inspirited by this wind of promise, my day dreams become more fervent and vivid. I try in vain to be persuaded that the pole is the seat of frost and desolation; it ever presents itself to my imagination as the region of beauty and delight. There, Margaret, the sun is 	I feel a cold northern breeze play upon my cheeks, which braces my nerves, and fills me with delight. Do you understand this feeling? This breeze, which has travelled from the regions towards which I am advancing, gives me a foretaste of those icy climes. Inspirited by this wind of promise, my day dreams become more fervent and vivid. I try in vain to be persuaded that the pole is the seat of frost and desolation; it ever presents itself to my imagination as the region of beauty and delight. There, Margaret, the sun is 		I feel a cold northern breeze play upon my cheeks, which braces my nerves, and fills me with delight. Do you understand this feeling? This breeze, which has travelled from the regions towards which I am advancing, gives me a foretaste of those icy climes. Inspirited by this wind of promise, my day dreams become more fervent and vivid. I try in vain to be persuaded that the pole is the seat of frost and desolation; it ever presents itself to my imagination as the region of beauty and delight. There, Margaret, the sun is 
C02_app9					<del sID="novel1_letter1_div1_p3_del1"/>for ever<del eID="novel1_letter1_div1_p3_del1"/>constantly visible 
C02_app10	for 	for 	for 		for 
