App ID	#f1818	#f1823	#f1831	#fMS	#fThomas
C28_app1	<milestone n="21" type="start" unit="chapter"/><pb n="091" xml:id="F1818_v3_095"/><head sID="novel1_letter4_chapter21_div4_div23_head1"/>CHAPTER V.<head eID="novel1_letter4_chapter21_div4_div23_head1"/><p sID="novel1_letter4_chapter21_div4_div23_p1"/>W<hi sID="novel1_letter4_chapter21_div4_div23_p1_hi1"/>E<hi eID="novel1_letter4_chapter21_div4_div23_p1_hi1"/> 	<milestone n="21" type="start" unit="chapter"/><pb n="179" xml:id="F1823_v2_452"/><head sID="novel1_letter4_chapter21_div4_div22_head1"/>CHAPTER X.<head eID="novel1_letter4_chapter21_div4_div22_head1"/><p sID="novel1_letter4_chapter21_div4_div22_p1"/>W<hi sID="novel1_letter4_chapter21_div4_div22_p1_hi1"/>E<hi eID="novel1_letter4_chapter21_div4_div22_p1_hi1"/> 	<milestone n="22" type="start" unit="chapter"/><pb n="165" xml:id="F1831_v_181"/><head sID="novel1_letter4_chapter22_div4_div22_head1"/>CHAPTER XXII.<head eID="novel1_letter4_chapter22_div4_div22_head1"/><p sID="novel1_letter4_chapter22_div4_div22_p1"/>T<hi sID="novel1_letter4_chapter22_div4_div22_p1_hi1"/>HE<hi eID="novel1_letter4_chapter22_div4_div22_p1_hi1"/> voyage came 	<milestone unit="tei:p"/><lb n="c57-0132__main__3"/> We 	<milestone n="21" type="start" unit="chapter"/><pb n="091" xml:id="F1818_v3_095"/><head sID="novel1_letter4_chapter21_div4_div23_head1"/>CHAPTER V.<head eID="novel1_letter4_chapter21_div4_div23_head1"/><p sID="novel1_letter4_chapter21_div4_div23_p1"/>W<hi sID="novel1_letter4_chapter21_div4_div23_p1_hi1"/>E<hi eID="novel1_letter4_chapter21_div4_div23_p1_hi1"/> 
C28_app2	had resolved not 	had resolved not 		had resolved not 	had resolved not 
C28_app3	to 	to 	to 	to 	to 
C28_app4	go 	go 	an end. We landed, and proceeded 	go 	go 
C28_app5	to 	to 	to 	to 	to 
C28_app6	London, 	London, 	Paris. I soon found that I had overtaxed my strength, 	London <lb n="c57-0132__main__4"/> 	London, 
C28_app7	but 	but 		but 	but 
C28_app8	to cross 	to cross 		<del rend="strikethrough" sID="c57-0132__main__d3e24859"/>to go<del eID="c57-0132__main__d3e24859"/><metamark function="insert">^</metamark>to<mdel>a</mdel>cross 	to cross 
C28_app9	the country to 	the country to 		the country to 	the country to 
C28_app10	Portsmouth, 	Portsmouth, 		Portsmouth <lb n="c57-0132__main__5"/> 	Portsmouth, 
C28_app11	and 	and 	and 	and 	and 
C28_app12			that I must repose before 	<del rend="strikethrough" sID="c57-0132__main__d3e24877"/>from<del eID="c57-0132__main__d3e24877"/> 	
C28_app13	thence to embark 	thence to embark 		thence to embark 	thence to embark 
C28_app14	for 	for 		to 	for 
C28_app15	Havre. 	Havre. 		Havre. 	Havre. 
C28_app16	I 	I 	I 	I 	I 
C28_app17			could continue my journey. My father’s care and attentions were indefatigable; but he did not know the origin of my sufferings, and sought erroneous methods 	<lb n="c57-0132__main__6"/> 	
C28_app18	preferred this 	preferred this 		preferred this 	preferred this 
C28_app19				<del rend="strikethrough" sID="c57-0132__main__d3e24883"/>pan<del eID="c57-0132__main__d3e24883"/> 	
C28_app20	plan principally because 	plan principally because 		plan principally because 	plan principally because 
C28_app21				<lb n="c57-0132__main__7"/> 	
C28_app22	I dreaded 	I dreaded 		I dreaded 	I dreaded 
C28_app23	to 	to 	to 	to 	to 
C28_app24	see again those places 	see again those places 	remedy the incurable ill. He wished me to seek amusement 	see again those places 	see again those places 
C28_app25	in 	in 	in 	in 	in 
C28_app26	which 	which 	society. 	which 	which 
C28_app27				<lb n="c57-0132__main__8"/> 	
C28_app28	I 	I 	I 	I 	I 
C28_app29	had enjoyed a few moments of tranquillity with 	had enjoyed a few moments of tranquillity with 	abhorred the face of man. Oh, not abhorred! they were my brethren, 	had enjoyed a few moments of tranquilli<lb n="c57-0132__main__9"/>ty with 	had enjoyed a few moments of tranquillity with 
C28_app30	my 	my 	my 	my 	my 
C28_app31	beloved 	beloved 	fellow beings, 	beloved 	beloved 
C28_app32	Clerval. 	Clerval. 		Cl<mdel>ai</mdel><metamark function="insert">^</metamark>erval – 	Clerval. 
C28_app33			and 	And 	
C28_app34	I 	I 	I 	I 	I 
C28_app35	thought 	thought 	felt attracted even to the most repulsive among them, as to creatures of an angelic nature 	thought 	thought 
C28_app36				<lb n="c57-0132__main__10"/> 	
C28_app37	with horror of seeing 	with horror of seeing 		with horror of seeing 	with horror of seeing 
C28_app38	again 	again 			again 
C28_app39	those 	those 		those 	those 
C28_app40	persons 	persons 		men 	persons 
C28_app41	whom 	whom 		whom 	whom 
C28_app42				<lb n="c57-0132__main__11"/> 	
C28_app43	we had been accustomed to visit 	we had been accustomed to visit 		we had been accustomed to visit 	we had been accustomed to visit 
C28_app44	together, 	together, 		together <lb n="c57-0132__main__12"/> 	together, 
C28_app45	and 	and 	and 	and 	and 
C28_app46	who might 	who might 	celestial mechanism. But I felt that I had no right to share their intercourse. I had unchained an enemy among them, whose joy it was to shed their blood, and to revel 	who, doubtless, would 	who might 
C28_app47	make 	mkae 		make 	make 
C28_app48	inquiries 	inquiries 		enquiries <lb n="c57-0132__main__13"/> 	inquiries 
