App ID	#fMS	#f1818	#fThomas	#f1823	#f1831
C12_app1	<milestone unit="tei:p"/><lb n="c56-0065__main__1"/> "Dear,	<p sID="novel1_letter4_chapter5_div4_div5_p15"/>“Dear,	<p sID="novel1_letter4_chapter5_div4_div5_p14"/>“Dear,	<p sID="novel1_letter4_chapter5_div4_div5_p15"/>“Dear,	<p sID="novel1_letter4_chapter6_div4_div6_p14"/>“Dear,
C12_app2	dear	dear	dear	dear	dear
C12_app3	Elizabeth"	Elizabeth!”	Elizabeth!”	Elizabeth!”	Elizabeth!”
C12_app4	I	I	I	I	I
C12_app5	exclaimed	exclaimed	exclaimed	exclaimed	exclaimed,
C12_app6	<lb n="c56-0065__main__2"/>				
C12_app7	when I had read her	when I had read her	when I had read her	when I had read her	when I had read her
C12_app8	letter"–I	letter, “I	letter, “I	letter, “I	letter, “I
C12_app9	will write	will write	will write	will write	will write
C12_app10	<lb n="c56-0065__main__3"/> instantly	instantly,	instantly,	instantly,	instantly,
C12_app11	and relieve them from the	and relieve them from the	and relieve them from the	and relieve them from the	and relieve them from the
C12_app12	<lb n="c56-0065__main__4"/> great pain	anxiety	anxiety	anxiety	anxiety
C12_app13	they must	they must	they must	they must	they must
C12_app14	feel."<milestone unit="tei:p"/><lb n="c56-0065__main__5"/>	feel.”	feel.”	feel.”	feel.”
C12_app15	I wrote, and this exertion greatly	I wrote, and this exertion greatly	I wrote, and this exertion greatly	I wrote, and this exertion greatly	I wrote, and this exertion greatly
C12_app16	<lb n="c56-0065__main__6"/>				
C12_app17	fatigued me;	fatigued me;	fatigued me;	fatigued me;	fatigued me;
C12_app18	b<mdel>y</mdel>ut	but	but	but	but
C12_app19	my convalescence	my convalescence	my convalescence	my convalescence	my convalescence
C12_app20	<del rend="strikethrough" sID="c56-0065__main__d2e13650"/>was<del eID="c56-0065__main__d2e13650"/><lb n="c56-0065__left_margin__1"/>had<lb n="c56-0065__main__7"/> commenced	had commenced,	had commenced,	had commenced,	had commenced,
C12_app21	and	and	and	and	and
C12_app22	<del rend="strikethrough" sID="c56-0065__main__d2e13669"/>went on<del eID="c56-0065__main__d2e13669"/>proceeded regularly–in <lb n="c56-0065__main__8"/>	proceeded regularly. In	proceeded regularly. In	proceeded regularly. In	proceeded regularly. In
C12_app23	another fortnight I was able to	another fortnight I was able to	another fortnight I was able to	another fortnight I was able to	another fortnight I was able to
C12_app24	<lb n="c56-0065__main__9"/>				
C12_app25	leave my	leave my	leave my	leave my	leave my
