App ID	#fMS	#f1818	#fThomas	#f1823	#f1831
C22_app1	<milestone unit="tei:p"/><lb n="c57-0051__main__1"/> Cursed,	<milestone n="15" type="start" unit="chapter"/><pb n="120" xml:id="F1818_v2_124"/><head sID="novel1_letter4_chapter15_div4_div16_head1"/>CHAPTER	<milestone n="15" type="start" unit="chapter"/><pb n="120" xml:id="F1818_v2_124"/><head sID="novel1_letter4_chapter15_div4_div16_head1"/>CHAPTER	<milestone n="15" type="start" unit="chapter"/><pb n="51" xml:id="F1823_v2_325"/><head sID="novel1_letter4_chapter15_div4_div16_head1"/>CHAPTER	<milestone n="16" type="start" unit="chapter"/><pb n="118" xml:id="F1831_v_134"/><head sID="novel1_letter4_chapter16_div4_div16_head1"/>CHAPTER XVI.<head eID="novel1_letter4_chapter16_div4_div16_head1"/><p sID="novel1_letter4_chapter16_div4_div16_p1"/>“C<hi sID="novel1_letter4_chapter16_div4_div16_p1_hi1"/>URSED<hi eID="novel1_letter4_chapter16_div4_div16_p1_hi1"/>,
C22_app2		VIII.<head eID="novel1_letter4_chapter15_div4_div16_head1"/><p sID="novel1_letter4_chapter15_div4_div16_p1"/> “C<hi sID="novel1_letter4_chapter15_div4_div16_p1_hi1"/>URSED<hi eID="novel1_letter4_chapter15_div4_div16_p1_hi1"/>,	VIII.<head eID="novel1_letter4_chapter15_div4_div16_head1"/><p sID="novel1_letter4_chapter15_div4_div16_p1"/> “C<hi sID="novel1_letter4_chapter15_div4_div16_p1_hi1"/>URSED<hi eID="novel1_letter4_chapter15_div4_div16_p1_hi1"/>,	IV.<head eID="novel1_letter4_chapter15_div4_div16_head1"/><p sID="novel1_letter4_chapter15_div4_div16_p1"/>“C<hi sID="novel1_letter4_chapter15_div4_div16_p1_hi1"/>URSED<hi eID="novel1_letter4_chapter15_div4_div16_p1_hi1"/>,	
C22_app3	Cursed Creator! Why	cursed creator! Why	cursed creator! Why	cursed creator! Why	cursed creator! Why
C22_app4	<lb n="c57-0051__main__2"/>				
C22_app5	did I	did I	did I	did I	did I
C22_app6	<del rend="strikethrough" sID="c57-0051__main__d3e10089"/>lif<del eID="c57-0051__main__d3e10089"/> live why	live? Why,	live? Why,	live? Why,	live? Why,
C22_app7	in that	in that	in that	in that	in that
C22_app8	instant <lb n="c57-0051__main__3"/>	instant,	instant,	instant,	instant,
C22_app9	did I not extinguish the spark of	did I not extinguish the spark of	did I not extinguish the spark of	did I not extinguish the spark of	did I not extinguish the spark of
C22_app10	<lb n="c57-0051__main__4"/>				
C22_app11	existence which you had so wantonly	existence which you had so wantonly	existence which you had so wantonly	existence which you had so wantonly	existence which you had so wantonly
C22_app12	<lb n="c57-0051__main__5"/>				
C22_app13	bestowed? I know	bestowed? I know	bestowed? I know	bestowed? I know	bestowed? I know
C22_app14	not—	not;	not;	not;	not;
C22_app15	Despair had not	despair had not	despair had not	despair had not	despair had not
C22_app16	<lb n="c57-0051__main__6"/>				
C22_app17	yet taken possession of	yet taken possession of	yet taken possession of	yet taken possession of	yet taken possession of
C22_app18	me <del rend="strikethrough" sID="c57-0051__main__d3e10101"/>it w<del eID="c57-0051__main__d3e10101"/>I <lb n="c57-0051__main__7"/> was enraged	me;	me;	me;	me;
C22_app19	my feelings were those	my feelings were those	my feelings were those	my feelings were those	my feelings were those
C22_app20	<lb n="c57-0051__main__8"/>				
C22_app21	of rage &	of rage and	of rage and	of rage and	of rage and
