App ID	#f1818	#f1823	#f1831	#fMS	#fThomas
C27_app1	<milestone n="20" type="start" unit="chapter"/><pb n="064" xml:id="F1818_v3_068"/><head sID="novel1_letter4_chapter20_div4_div22_head1"/>CHAPTER IV.<head eID="novel1_letter4_chapter20_div4_div22_head1"/><p sID="novel1_letter4_chapter20_div4_div22_p1"/>I 	<milestone n="20" type="start" unit="chapter"/><pb n="152" xml:id="F1823_v2_425"/><head sID="novel1_letter4_chapter20_div4_div21_head1"/>CHAPTER IX.<head eID="novel1_letter4_chapter20_div4_div21_head1"/><p sID="novel1_letter4_chapter20_div4_div21_p1"/>I 	<milestone n="21" type="start" unit="chapter"/><pb n="155" xml:id="F1831_v_171"/><head sID="novel1_letter4_chapter21_div4_div21_head1"/>CHAPTER XXI.<head eID="novel1_letter4_chapter21_div4_div21_head1"/><p sID="novel1_letter4_chapter21_div4_div21_p1"/>I 	<lb n="c57-0117__main__1"/><milestone spanTo="#c57-0117.02" unit="tei:head"/>Chap. 14<shi rend="underline"></shi><lb n="c57-0117__main__2"/><lb n="c57-0117__left_margin__1"/> I 	<milestone n="20" type="start" unit="chapter"/><pb n="064" xml:id="F1818_v3_068"/><head sID="novel1_letter4_chapter20_div4_div22_head1"/>CHAPTER IV.<head eID="novel1_letter4_chapter20_div4_div22_head1"/><p sID="novel1_letter4_chapter20_div4_div22_p1"/>I 
C27_app2	<hi sID="novel1_letter4_chapter20_div4_div22_p1_hi1"/>WAS<hi eID="novel1_letter4_chapter20_div4_div22_p1_hi1"/> soon 	<hi sID="novel1_letter4_chapter20_div4_div21_p1_hi1"/>WAS<hi eID="novel1_letter4_chapter20_div4_div21_p1_hi1"/> soon 	<hi sID="novel1_letter4_chapter21_div4_div21_p1_hi1"/>WAS<hi eID="novel1_letter4_chapter21_div4_div21_p1_hi1"/> soon 	was soon 	<hi sID="novel1_letter4_chapter20_div4_div22_p1_hi1"/>WAS<hi eID="novel1_letter4_chapter20_div4_div22_p1_hi1"/> soon 
C27_app3				<del rend="strikethrough" sID="c57-0117__main__d3e21785"/>int<del eID="c57-0117__main__d3e21785"/> 	
C27_app4	introduced into the presence of the 	introduced into the presence of the 	introduced into the presence of the 	introduced into the presence of the 	introduced into the presence of the 
C27_app5	magistrate, an 	magistrate, an 	magistrate, an 	<lb n="c57-0117__main__3"/> Magistrate; an<del rend="strikethrough" sID="c57-0117__main__d3e21790"/>d<del eID="c57-0117__main__d3e21790"/> 	magistrate, an 
C27_app6	old benevolent 	old benevolent 	old benevolent 	old benevolent 	old benevolent 
C27_app7	man, 	man, 	man, 	man 	man, 
C27_app8	with 	with 	with 	with 	with 
C27_app9				<lb n="c57-0117__main__4"/> 	
C27_app10	calm and mild manners. He looked 	calm and mild manners. He looked 	calm and mild manners. He looked 	calm & mild manners. He looked 	calm and mild manners. He looked 
C27_app11	upon me, however, 	upon me, however, 	upon me, however, 	<del rend="strikethrough" sID="c57-0117__main__d3e21798"/>towards<del eID="c57-0117__main__d3e21798"/>upon me <lb n="c57-0117__main__5"/> however 	upon me, however, 
C27_app12	with some degree of 	with some degree of 	with some degree of 	with some degree of 	with some degree of 
C27_app13	severity; 	severity: 	severity: 	severity, 	severity; 
C27_app14	and 	and 	and 	and 	and 
C27_app15	then, 	then, 	then, 	then <lb n="c57-0117__main__6"/> 	then, 
C27_app16	turning towards my 	turning towards my 	turning towards my 	turning towards my 	turning towards my 
C27_app17	conductors, 	conductors, 	conductors, 	conductors <del rend="strikethrough" sID="c57-0117__main__d3e21809"/>wh<del eID="c57-0117__main__d3e21809"/> 	conductors, 
C27_app18	he 	he 	he 	he 	he 
C27_app19				<del rend="strikethrough" sID="c57-0117__main__d3e21812"/>h<del eID="c57-0117__main__d3e21812"/> 	
C27_app20	asked who 	asked who 	asked who 	asked who 	asked who 
C27_app21				<lb n="c57-0117__main__7"/><del rend="strikethrough" sID="c57-0117__main__d3e21821"/>it was that<del eID="c57-0117__main__d3e21821"/><del rend="strikethrough" sID="c57-0117__main__d3e21824"/>there were who<del eID="c57-0117__main__d3e21824"/> 	
C27_app22	appeared as witnesses on this 	appeared as witnesses on this 	appeared as witnesses on this 	appeared as wit<lb n="c57-0117__main__8"/>nesses on this 	appeared as witnesses on this 
C27_app23	occasion.<p eID="novel1_letter4_chapter20_div4_div22_p1"/><p sID="novel1_letter4_chapter20_div4_div22_p2"/>About 	occasion.<p eID="novel1_letter4_chapter20_div4_div21_p1"/><p sID="novel1_letter4_chapter20_div4_div21_p2"/>About 	occasion.<p eID="novel1_letter4_chapter21_div4_div21_p1"/><p sID="novel1_letter4_chapter21_div4_div21_p2"/>About 	occasion<mdel>,</mdel>. about 	occasion.<p eID="novel1_letter4_chapter20_div4_div22_p1"/><p sID="novel1_letter4_chapter20_div4_div22_p2"/>About 
C27_app24	half a dozen 	half a dozen 	half a dozen 	half a dozen 	half a dozen 
C27_app25				<lb n="c57-0117__main__9"/> 	
C27_app26	men came 	men came 	men came 	men came 	men came 
C27_app27	forward; 	forward; 	forward; 	forward 	forward; 
C27_app28	and 	and, 	and, 	and 	and 
C27_app29	one being selected 	one being selected 	one being selected 	one being selected 	one being selected 
C27_app30				<lb n="c57-0117__main__10"/> 	
C27_app31	by the 	by the 	by the 	by the 	by the 
C27_app32	magistrate, 	magistrate, 	magistrate, 	magistrate 	magistrate, 
C27_app33	he 	he 	he 	he 	he 
C27_app34	deposed, 	deposed, 	deposed, 	deposed 	deposed, 
C27_app35	that he had been 	that he had been 	that he had been 	that he had been 	that he had been 
C27_app36				<lb n="c57-0117__main__11"/> 	
C27_app37	out fishing the night before with his son and 	out fishing the night before with his son and 	out fishing the night before with his son and 	out fishing the night before with his son &<lb n="c57-0117__main__12"/> 	out fishing the night before with his son and 
C27_app38				his 	
C27_app39	brother-in-law, Daniel Nugent, 	brother-in-law, Daniel Nugent, 	brother-in-law, Daniel Nugent, 	brother-in-law, Daniel Nugent, 	brother-in-law, Daniel Nugent, 
C27_app40	when, 	when, 	when, 	when <lb n="c57-0117__main__13"/> 	when, 
C27_app41	about 	about 	about 	about 	about 
C27_app42	ten o’clock, 	ten o’clock, 	ten o’clock, 	nine o clock 	ten o’clock, 
C27_app43	they 	they 	they 	they 	they 
C27_app44	observed 	ob<pb n="153" xml:id="F1823_v2_426"/>served 	observed 	observed 	observed 
C27_app45	<pb n="065" xml:id="F1818_v3_069"/>a 	a 	a 	a 	<pb n="065" xml:id="F1818_v3_069"/>a 
C27_app46	strong 	strong 	strong 	strong 	strong 
C27_app47				<lb n="c57-0117__main__14"/> 	
C27_app48	northerly blast 	northerly blast 	northerly blast 	northerly blast 	northerly blast 
C27_app49	rising, 	rising, 	rising, 	rising 	rising, 
C27_app50	and they accordingly put 	and they accordingly put 	and they accordingly put 	& they accordingly put 	and they accordingly put 
C27_app51				<lb n="c57-0117__main__15"/> 	
C27_app52	in for port. It was a very dark 	in for port. It was a very dark 	in for port. It was a very dark 	in for port. It was a very dark 	in for port. It was a very dark 
C27_app53	night, 	night, 	night, 	night 	night, 
C27_app54	as 	as 	as 	as 	as 
C27_app55				<lb n="c57-0117__main__16"/> 	
C27_app56	the moon had not yet risen; they did not 	the moon had not yet risen; they did not 	the moon had not yet risen; they did not 	the moon had not yet risen; They did not 	the moon had not yet risen; they did not 
C27_app57	land 	land 	land 	<lb n="c57-0117__main__17"/> lan<mdel/>d 	land 
C27_app58	at the 	at the 	at the 	at the 	at the 
C27_app59	harbour, 	harbour, 	harbour, 	harbour 	harbour, 
C27_app60	but, as they had been 	but, as they had been 	but, as they had been 	but, as they had been 	but, as they had been 
C27_app61				<lb n="c57-0117__main__18"/> 	
C27_app62	accustomed, at a creek about two miles 	accustomed, at a creek about two miles 	accustomed, at a creek about two miles 	accustomed, at a creek about two miles 	accustomed, at a creek about two miles 
C27_app63				<lb n="c57-0117__main__19"/> 	
C27_app64	below. He 	below. He 	below. He 	below. He 	below. He 
C27_app65	walked on first, 	walked on first, 	walked on first, 	went first 	walked on first, 
C27_app66	carrying a part 	carrying a part 	carrying a part 	carrying a part 	carrying a part 
C27_app67				<lb n="c57-0117__main__20"/> 	
C27_app68	of the fishing 	of the fishing 	of the fishing 	of the fishing 	of the fishing 
C27_app69	tackle, 	tackle, 	tackle, 	tackle 	tackle, 
C27_app70	and his companions 	and his companions 	and his companions 	& his companions 	and his companions 
C27_app71				<lb n="c57-0117__main__21"/> 	
C27_app72	followed him at some distance. As he 	followed him at some distance. As he 	followed him at some distance. As he 	followed him at some distance. As he 	followed him at some distance. As he 
C27_app73				<lb n="c57-0117__main__22"/> 	
C27_app74	was 	was 	was 	was 	was 
C27_app75	proceeding 	proceeding 	proceeding 	walking 	proceeding 
C27_app76	along the 	along the 	along the 	along the 	along the 
C27_app77	sands, 	sands, 	sands, 	sands 	sands, 
C27_app78	he 	he 	he 	he 	he 
C27_app79	struck 	struck 	struck 	<del rend="strikethrough" sID="c57-0117__main__d3e21890"/>hit<del eID="c57-0117__main__d3e21890"/>struck 	struck 
C27_app80	his foot 	his foot 	his foot 	his foot 	his foot 
C27_app81				<lb n="c57-0117__main__23"/> 	
C27_app82	against 	against 	against 	against 	against 
C27_app83	something, 	something, 	something, 	somthing 	something, 
C27_app84	and fell 	and fell 	and fell 	& fell 	and fell 
C27_app85	all 	at 	at 	all 	all 
C27_app86	his length on 	his length on 	his length on 	his length on 	his length on 
C27_app87				<lb n="c57-0117__main__24"/> 	
C27_app88	the 	the 	the 	the 	the 
C27_app89	ground. 	ground. 	ground. 	ground; 	ground. 
C27_app90	His 	His 	His 	his 	His 
C27_app91	companions 	companions 	companions 	comrades 	companions 
C27_app92	came up to assist 	came up to assist 	came up to assist 	came up to assist 	came up to assist 
C27_app93	him; and, 	him; and, 	him; and, 	<lb n="c57-0117__main__25"/> him & 	him; and, 
C27_app94	by the light of their 	by the light of their 	by the light of their 	by the light of their 	by the light of their 
C27_app95	lantern, 	lantern, 	lantern, 	lantern 	lantern, 
C27_app96	they 	they 	they 	they 	they 
C27_app97	found 	found 	found 	<lb n="c57-0117__main__26"/> discovered 	found 
