App ID	#f1818	#f1823	#f1831	#fMS	#fThomas
C26_app1	<milestone n="19" type="start" unit="chapter"/><pb n="040" xml:id="F1818_v3_044"/><head sID="novel1_letter4_chapter19_div4_div21_head1"/>CHAPTER III.<head eID="novel1_letter4_chapter19_div4_div21_head1"/><p sID="novel1_letter4_chapter19_div4_div21_p1"/>I 	<milestone n="19" type="start" unit="chapter"/><pb n="128" xml:id="F1823_v2_401"/><head sID="novel1_letter4_chapter19_div4_div20_head1"/>CHAPTER VIII.<head eID="novel1_letter4_chapter19_div4_div20_head1"/><p sID="novel1_letter4_chapter19_div4_div20_p1"/>I 	<milestone n="20" type="start" unit="chapter"/><pb n="146" xml:id="F1831_v_162"/><head sID="novel1_letter4_chapter20_div4_div20_head1"/>CHAPTER XX.<head eID="novel1_letter4_chapter20_div4_div20_head1"/><p sID="novel1_letter4_chapter20_div4_div20_p1"/>I 	<milestone unit="tei:p"/><lb n="c57-0102__main__24"/> 	<milestone n="19" type="start" unit="chapter"/><pb n="040" xml:id="F1818_v3_044"/><head sID="novel1_letter4_chapter19_div4_div21_head1"/>CHAPTER III.<head eID="novel1_letter4_chapter19_div4_div21_head1"/><p sID="novel1_letter4_chapter19_div4_div21_p1"/>I 
C26_app2	<hi sID="novel1_letter4_chapter19_div4_div21_p1_hi1"/>SAT<hi eID="novel1_letter4_chapter19_div4_div21_p1_hi1"/> 	<hi sID="novel1_letter4_chapter19_div4_div20_p1_hi1"/>SAT<hi eID="novel1_letter4_chapter19_div4_div20_p1_hi1"/> 	<hi sID="novel1_letter4_chapter20_div4_div20_p1_hi1"/>SAT<hi eID="novel1_letter4_chapter20_div4_div20_p1_hi1"/> 		<hi sID="novel1_letter4_chapter19_div4_div21_p1_hi1"/>SAT<hi eID="novel1_letter4_chapter19_div4_div21_p1_hi1"/> 
C26_app3	one evening 	one evening 	one evening 	One evening 	one evening 
C26_app4				I sat 	
C26_app5	in my 	in my 	in my 	in my 	in my 
C26_app6	laboratory; 	laboratory; 	laboratory; 	<del instant="true" rend="strikethrough" sID="c57-0102__main__d3e19078"/>chemic<del eID="c57-0102__main__d3e19078"/><lb n="c57-0102__main__25"/> workshop, 	laboratory; 
C26_app7	the sun had 	the sun had 	the sun had 	the sun had 	the sun had 
C26_app8	set, 	set, 	set, 	set 	set, 
C26_app9	and the moon 	and the moon 	and the moon 	& the moon 	and the moon 
C26_app10				<lb n="c57-0102__main__26"/> 	
C26_app11	was just rising from the 	was just rising from the 	was just rising from the 	was just rising from the 	was just rising from the 
C26_app12	sea; 	sea; 	sea; 	sea — 	sea; 
C26_app13	I had not 	I had not 	I had not 	I had not 	I had not 
C26_app14	sufficient 	sufficient 	sufficient 	<lb n="c57-0102__main__27"/> 	sufficient 
C26_app15	light 	light 	light 	light 	light 
C26_app16				sufficient 	
C26_app17	for my 	for my 	for my 	for my 	for my 
C26_app18	employment, 	employment, 	employment, 	<del rend="strikethrough" sID="c57-0102__main__d3e19090"/>work<del eID="c57-0102__main__d3e19090"/>employment 	employment, 
C26_app19	and I 	and I 	and I 	and I 	and I 
C26_app20	remained idle, 	remained idle, 	remained idle, 	sat <lb n="c57-0102__main__28"/> idle <del rend="strikethrough" sID="c57-0102__main__d3e19099"/>mus<del eID="c57-0102__main__d3e19099"/><del rend="strikethrough" sID="c57-0102__main__d3e19102"/>untill<del eID="c57-0102__main__d3e19102"/> 	remained idle, 
C26_app21	in 	in 	in 	in 	in 
C26_app22	a 	a 	a 	<del rend="strikethrough" sID="c57-0102__main__d3e19107"/>the<del eID="c57-0102__main__d3e19107"/><metamark function="insert">^</metamark>a 	a 
C26_app23	pause of consideration 	pause of consideration 	pause of consideration 	pause of consideration 	pause of consideration 
C26_app24				<lb n="c57-0102__main__29"/> 	
C26_app25	of whether I should leave my labour for 	of whether I should leave my labour for 	of whether I should leave my labour for 	of whether I should leave my labour for 	of whether I should leave my labour for 
C26_app26				<lb n="c57-0102__main__30"/> 	
C26_app27	the 	the 	the 	the 	the 
C26_app28	night, 	night, 	night, 	night 	night, 
C26_app29	or hasten its conclusion by an 	or hasten its conclusion by an 	or hasten its conclusion by an 	or hasten its conclusion by an 	or hasten its conclusion by an 
C26_app30				<lb n="c57-0102__main__31"/> 	
C26_app31	unremitting attention to it. As I 	unremitting attention to it. As I 	unremitting attention to it. As I 	unremitting attention to it. As I 	unremitting attention to it. As I 
C26_app32	sat, 	sat, 	sat, 	sat 	sat, 
C26_app33	a train 	a train 	a train 	a train 	a train 
C26_app34				<lb n="c57-0102__main__32"/> 	
C26_app35	of reflection 	of reflection 	of reflection 	of reflection 	of reflection 
C26_app36	occurred 	occurred 	occurred 	occur<mdel>e</mdel>red 	occurred 
C26_app37	to 	to 	to 	to 	to 
C26_app38	me, 	me, 	me, 	me 	me, 
C26_app39	which led 	which led 	which led 	which led 	which led 
C26_app40				to 	
C26_app41	me 	me 	me 	me 	me 
C26_app42	to 	to 	to 	<lb n="c57-0102__main__33"/> 	to 
C26_app43	consider the effects of what I was now 	consider the effects of what I was now 	consider the effects of what I was now 	consider the effects of what I was now 	consider the effects of what I was now 
