MS:  	 1831: 
[DELstart] sevr[DELend]  servants 	 Every one loved Elizabeth. The passionate and almost reverential attachment with which all regarded her became, while I shared it, my pride and my delight. On the evening previous to her being brought to my home, my mother 
 any request 	 said playfully,—“I have a pretty present for my Victor—to-morrow he shall have it.” And when, on the morrow, she presented Elizabeth 
make [DELstart] the[DELend][ADDstart] her[ADDend] of 	 me as her promised gift, I, with childish seriousness, interpreted her words literally, and looked upon 
 For me 	 as mine—mine to protect, love, and cherish. All praises bestowed on her, 
loved he perfectly although 	 received as made to a possession of my own. We called each other familiarly by the name of cousin. No word, no expression could body forth the kind of relation in which she stood to me—my more than sister, since till death she was to be mine only.     CHAPTER II.     W E  were brought up together; 
were many  We 	 was not quite a year difference in our ages. I need not say that we 
  	[NO 1831 VARIANT]
dispute [DELstart] There[DELend][ADDstart] There For, although[ADDend] was a great dissimilitude 	 dispute. Harmony was the soul of our companionship, and the diversity and contrast that subsisted 
 there 	 characters drew us nearer together. Elizabeth 
an   	 of a calmer and more concentrated disposition; but, with all my ardour, 
 calm 	 intense application, 
phi[DELstart] n[DELend] My application was 	 was more deeply smitten with the thirst for knowledge. She busied herself with following the aerial creations 
longer endurance [DELstart] than hers[DELend][DELstart] as hers[DELend][DELstart] lasted[DELend][ADDstart] st[ADDend][ADDstart] endured[ADDend] were studying old books 	 the poets; and in the majestic and wondrous scenes which surrounded our Swiss home—the sublime shapes of the mountains; the changes of the seasons; tempest and calm; the silence 
 chemistry 	 winter, 
 natural magic those 	 the life and turbulence 
Elizabeth were [ADDstart] X[ADDend][ADDstart] ^[ADDend][ADDstart] following[ADDend]  	 our Alpine summers,—she found ample scope for admiration and delight. While my companion contemplated with a serious and satisfied spirit 
aerial  creations 	 magnificent appearances 
the  poets.– 	 things, I delighted in investigating their causes. 
disco[DELstart] haven[DELend] she sought 	 divine. Curiosity, earnest research 
 imaginations 	 learn the hidden laws 
[DELstart] When I[DELend][DELstart] I had[DELend]  My brothers 	 nature, gladness akin to rapture, as they 
consi derably younger than myself but 	 unfolded to me, are among the earliest sensations 
 had 	 can remember.     On the birth of 
friend [DELstart] who[DELend][DELstart] who[DELend]  	 second son, my junior by seven years, my parents gave up entirely their wandering life, and fixed themselves in their native country. We possessed a house 
one of my school [DELstart] Carignan[DELend][ADDstart] deficiency.[ADDend][ADDstart] Clerval[ADDend]  was 	 Geneva, and a  campagne  on Belrive, the eastern shore of the lake, at 
son[DELstart] s[DELend]  	 distance 
merchant [DELstart] an[DELend]  of Geneva 	 league from the city. We resided principally in the latter, 
 an intimate friend 	 the lives 
father[DELstart] 's[DELend]  – he 	 parents were passed in considerable seclusion. It 
boy of singu[DELstart] fancy[DELend]  fancy 	 few. I was indifferent, therefore, to my schoolfellows in general; but 
remember  wrote 	 united myself in the bonds of the closest friendship to one among them. Henry Clerval was the son of 
 fairy tale which 	 merchant of Geneva. He 
the  delight 	 a boy of singular talent 
amazement of all his [DELstart] Like Don Quixote[DELend][DELstart] was[DELend] consisted 	 fancy. He loved enterprise, hardship, and even danger, for its own sake. He was deeply read 
chi  valry & romance 	 chivalry and romance. He composed heroic songs, 
[ADDstart] ^[ADDend][ADDstart] when very young, I can[ADDend][ADDstart] remember that[ADDend]  we used 	 began to write many a tale of enchantment and knightly adventure. He tried 
 plays composed by him out 	 plays, and to enter into masquerades, in which the characters were drawn from the heroes 
